x,y,ori,sf,score
0,0,40.0,0.04,-1
0,1,40.0,0.0406123478698,-2
0,2,40.0,0.0412340699874,-1
0,3,40.0,0.0418653098603,-1
0,4,40.0,0.0425062131931,-1
0,5,40.0,0.0431569279206,-2
0,6,40.0,0.0438176042426,-1
0,7,40.0,0.044488394658,-2
0,8,40.0,0.0451694540004,-1
0,9,40.0,0.0458609394738,-2
0,10,40.0,0.0465630106886,-1
0,11,40.0,0.0472758296988,-1
0,12,40.0,0.047999561039,0
0,13,40.0,0.0487343717628,-2
0,14,40.0,0.0494804314811,-1
0,15,40.0,0.0502379124014,-1
0,16,40.0,0.0510069893674,-1
0,17,40.0,0.0517878398995,-1
0,18,40.0,0.0525806442356,0
0,19,40.0,0.0533855853728,1
0,20,40.0,0.0542028491098,1
0,21,40.0,0.0550326240895,-2
0,22,40.0,0.0558751018427,1
0,23,40.0,0.0567304768323,-2
0,24,40.0,0.0575989464983,0
0,25,40.0,0.058480711303,-2
0,26,40.0,0.0593759747778,-2
0,27,40.0,0.0602849435695,1
0,28,40.0,0.0612078274889,0
0,29,40.0,0.0621448395583,0
0,30,40.0,0.0630961960613,1
0,31,40.0,0.0640621165925,-2
0,32,40.0,0.0650428241082,-2
0,33,40.0,0.0660385449779,-1
0,34,40.0,0.0670495090364,1
0,35,40.0,0.0680759496371,0
0,36,40.0,0.0691181037056,-1
0,37,40.0,0.0701762117948,-1
0,38,40.0,0.0712505181398,-1
0,39,40.0,0.0723412707149,-2
0,40,40.0,0.0734487212904,-1
0,41,40.0,0.0745731254909,0
0,42,40.0,0.0757147428543,-1
0,43,40.0,0.0768738368917,-1
0,44,40.0,0.0780506751482,0
0,45,40.0,0.0792455292648,1
0,46,40.0,0.0804586750406,-2
0,47,40.0,0.0816903924972,-2
0,48,40.0,0.0829409659429,1
0,49,40.0,0.0842106840382,-1
0,50,40.0,0.0854998398628,1
0,51,40.0,0.0868087309829,1
0,52,40.0,0.0881376595203,0
0,53,40.0,0.0894869322216,-2
0,54,40.0,0.0908568605296,1
0,55,40.0,0.0922477606545,1
0,56,40.0,0.0936599536477,1
0,57,40.0,0.0950937654752,1
0,58,40.0,0.0965495270931,-2
0,59,40.0,0.0980275745242,1
0,60,40.0,0.0995282489352,1
0,61,40.0,0.101051896716,1
0,62,40.0,0.102598869558,-1
0,63,40.0,0.104169524538,-1
0,64,40.0,0.105764224199,1
0,65,40.0,0.107383336634,-2
0,66,40.0,0.10902723557,1
0,67,40.0,0.110696300456,-1
0,68,40.0,0.112390916551,1
0,69,40.0,0.114111475009,0
0,70,40.0,0.115858372975,0
0,71,40.0,0.117632013672,0
0,72,40.0,0.119432806497,0
0,73,40.0,0.121261167113,-2
0,74,40.0,0.123117517547,-2
0,75,40.0,0.125002286287,0
0,76,40.0,0.12691590838,-1
0,77,40.0,0.128858825533,1
0,78,40.0,0.130831486216,0
0,79,40.0,0.132834345763,-1
0,80,40.0,0.13486786648,1
0,81,40.0,0.136932517748,0
0,82,40.0,0.139028776137,-1
0,83,40.0,0.141157125509,1
0,84,40.0,0.143318057137,1
0,85,40.0,0.145512069812,1
0,86,40.0,0.147739669961,0
0,87,40.0,0.150001371766,-2
0,88,40.0,0.152297697277,1
0,89,40.0,0.15462917654,1
0,90,40.0,0.156996347711,0
0,91,40.0,0.159399757188,0
0,92,40.0,0.161839959732,-2
0,93,40.0,0.164317518597,0
0,94,40.0,0.166833005659,-2
0,95,40.0,0.169387001549,-1
0,96,40.0,0.171980095789,-1
0,97,40.0,0.174612886921,1
0,98,40.0,0.177285982655,-1
0,99,40.0,0.18,-1
1,0,41.4,0.04,0
1,1,41.4,0.0406123478698,2
1,2,41.4,0.0412340699874,0
1,3,41.4,0.0418653098603,1
1,4,41.4,0.0425062131931,1
1,5,41.4,0.0431569279206,-1
1,6,41.4,0.0438176042426,-1
1,7,41.4,0.044488394658,1
1,8,41.4,0.0451694540004,2
1,9,41.4,0.0458609394738,2
1,10,41.4,0.0465630106886,-1
1,11,41.4,0.0472758296988,0
1,12,41.4,0.047999561039,-1
1,13,41.4,0.0487343717628,0
1,14,41.4,0.0494804314811,-1
1,15,41.4,0.0502379124014,-1
1,16,41.4,0.0510069893674,2
1,17,41.4,0.0517878398995,-1
1,18,41.4,0.0525806442356,-1
1,19,41.4,0.0533855853728,0
1,20,41.4,0.0542028491098,2
1,21,41.4,0.0550326240895,0
1,22,41.4,0.0558751018427,-1
1,23,41.4,0.0567304768323,2
1,24,41.4,0.0575989464983,-1
1,25,41.4,0.058480711303,1
1,26,41.4,0.0593759747778,0
1,27,41.4,0.0602849435695,2
1,28,41.4,0.0612078274889,0
1,29,41.4,0.0621448395583,2
1,30,41.4,0.0630961960613,0
1,31,41.4,0.0640621165925,-1
1,32,41.4,0.0650428241082,1
1,33,41.4,0.0660385449779,0
1,34,41.4,0.0670495090364,1
1,35,41.4,0.0680759496371,1
1,36,41.4,0.0691181037056,2
1,37,41.4,0.0701762117948,0
1,38,41.4,0.0712505181398,1
1,39,41.4,0.0723412707149,2
1,40,41.4,0.0734487212904,0
1,41,41.4,0.0745731254909,1
1,42,41.4,0.0757147428543,-1
1,43,41.4,0.0768738368917,-1
1,44,41.4,0.0780506751482,1
1,45,41.4,0.0792455292648,2
1,46,41.4,0.0804586750406,2
1,47,41.4,0.0816903924972,0
1,48,41.4,0.0829409659429,2
1,49,41.4,0.0842106840382,0
1,50,41.4,0.0854998398628,-1
1,51,41.4,0.0868087309829,-1
1,52,41.4,0.0881376595203,-1
1,53,41.4,0.0894869322216,2
1,54,41.4,0.0908568605296,1
1,55,41.4,0.0922477606545,-1
1,56,41.4,0.0936599536477,2
1,57,41.4,0.0950937654752,-1
1,58,41.4,0.0965495270931,-1
1,59,41.4,0.0980275745242,1
1,60,41.4,0.0995282489352,-1
1,61,41.4,0.101051896716,2
1,62,41.4,0.102598869558,-1
1,63,41.4,0.104169524538,2
1,64,41.4,0.105764224199,0
1,65,41.4,0.107383336634,2
1,66,41.4,0.10902723557,1
1,67,41.4,0.110696300456,2
1,68,41.4,0.112390916551,0
1,69,41.4,0.114111475009,2
1,70,41.4,0.115858372975,0
1,71,41.4,0.117632013672,2
1,72,41.4,0.119432806497,2
1,73,41.4,0.121261167113,-1
1,74,41.4,0.123117517547,2
1,75,41.4,0.125002286287,1
1,76,41.4,0.12691590838,0
1,77,41.4,0.128858825533,2
1,78,41.4,0.130831486216,2
1,79,41.4,0.132834345763,0
1,80,41.4,0.13486786648,-1
1,81,41.4,0.136932517748,-1
1,82,41.4,0.139028776137,1
1,83,41.4,0.141157125509,1
1,84,41.4,0.143318057137,0
1,85,41.4,0.145512069812,-1
1,86,41.4,0.147739669961,1
1,87,41.4,0.150001371766,2
1,88,41.4,0.152297697277,2
1,89,41.4,0.15462917654,-1
1,90,41.4,0.156996347711,1
1,91,41.4,0.159399757188,0
1,92,41.4,0.161839959732,-1
1,93,41.4,0.164317518597,-1
1,94,41.4,0.166833005659,2
1,95,41.4,0.169387001549,2
