simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_36,10,6,1,SimpleHill,0-0,0,0,0-0,4-7;2-3;4-5;2-8;3-2;7-4,7-4,20,20
random,random_robot_36,10,6,1,SimpleHill,0-0,0,1,7-4,6-9;6-10;7-0;1-12;1-0;15-7,7-0,13,-7
random,random_robot_36,10,6,1,SimpleHill,0-0,0,2,7-0,11-9;8-2;2-6;11-8;7-2;14-3,11-9,35,22
random,random_robot_36,10,6,1,SimpleHill,0-0,0,3,11-9,14-8;3-3;7-6;12-2;3-7;6-8,3-3,11,-24
random,random_robot_36,10,6,1,SimpleHill,0-0,0,4,3-3,12-2;10-0;6-0;6-8;2-6;0-12,6-0,11,0
random,random_robot_36,10,6,1,SimpleHill,0-0,0,5,6-0,13-7;8-8;11-4;9-0;2-5;1-0,11-4,27,16
random,random_robot_36,10,6,1,SimpleHill,0-0,0,6,11-4,12-7;13-0;5-6;11-1;9-3;2-5,9-3,22,-5
random,random_robot_36,10,6,1,SimpleHill,0-0,0,7,9-3,9-9;6-7;12-4;8-11;0-0;7-7,6-7,24,2
random,random_robot_36,10,6,1,SimpleHill,0-0,0,8,6-7,7-1;8-8;3-16;9-2;1-0;4-10,4-10,25,1
random,random_robot_36,10,6,1,SimpleHill,0-0,0,9,4-10,12-5;6-8;10-17;4-10;6-10;6-11,6-10,29,4
random,random_robot_36,10,6,1,SimpleHill,0-0,0,10,6-10,13-16;3-1;0-4;4-1;9-13;3-8,13-16,49,20
random,random_robot_36,10,6,1,SimpleHill,0-0,0,11,13-16,7-20;15-21;22-13;22-19;7-9;13-13,22-19,65,16
random,random_robot_36,10,6,1,SimpleHill,0-0,0,12,22-19,20-17;14-18;25-27;22-26;28-26;27-16,14-18,53,-12
random,random_robot_36,10,6,1,SimpleHill,0-0,0,13,14-18,11-12;20-12;16-26;12-12;14-27;12-24,20-12,53,0
random,random_robot_36,10,6,1,SimpleHill,0-0,0,14,20-12,28-14;11-9;11-15;19-19;29-12;15-20,29-12,62,9
random,random_robot_36,10,6,1,SimpleHill,0-0,0,15,29-12,21-12;25-16;27-17;35-19;33-17;36-14,33-17,72,10
random,random_robot_36,10,6,1,SimpleHill,0-0,0,16,33-17,26-18;36-24;34-11;37-17;38-16;35-26,38-16,74,2
random,random_robot_36,10,6,1,SimpleHill,0-0,0,17,38-16,39-9;29-18;45-22;46-18;39-14;34-10,46-18,79,5
random,random_robot_36,10,6,1,SimpleHill,0-0,0,18,46-18,45-25;46-28;44-10;53-16;48-24;38-18,53-16,76,-3
random,random_robot_36,10,6,1,SimpleHill,0-0,0,19,53-16,56-9;53-7;60-19;49-19;59-24;56-15,56-15,74,-2
random,random_robot_36,10,6,1,SimpleHill,0-0,0,20,56-15,56-5;57-19;53-15;55-23;59-15;55-6,57-19,79,5
random,random_robot_36,10,6,1,SimpleHill,0-0,0,21,57-19,49-20;61-16;50-13;58-14;59-16;58-16,58-16,75,-4
random,random_robot_36,10,6,1,SimpleHill,0-0,0,22,58-16,56-9;57-8;64-23;53-9;65-20;65-22,65-22,79,4
random,random_robot_36,10,6,1,SimpleHill,0-0,0,23,65-22,64-18;62-16;67-19;63-28;69-28;66-17,66-17,73,-6
random,random_robot_36,10,6,1,SimpleHill,0-0,0,24,66-17,61-12;64-21;70-25;69-13;61-10;70-21,70-21,75,2
random,random_robot_36,10,6,1,SimpleHill,0-0,0,25,70-21,70-30;63-18;70-13;65-19;66-18;66-12,66-18,74,-1
random,random_robot_36,10,6,1,SimpleHill,0-0,0,26,66-18,70-15;63-18;61-16;65-11;63-25;62-14,63-18,76,2
random,random_robot_36,10,6,1,SimpleHill,0-0,0,27,63-18,54-15;62-24;69-24;63-25;67-15;59-15,54-15,75,-1
random,random_robot_36,10,6,1,SimpleHill,0-0,0,28,54-15,51-13;54-8;49-19;60-8;57-16;48-8,60-8,62,-13
random,random_robot_36,10,6,1,SimpleHill,0-0,0,29,60-8,52-4;64-1;55-16;66-4;59-3;63-7,52-4,57,-5
random,random_robot_36,10,6,1,SimpleHill,0-0,0,30,52-4,61-2;44-6;47-10;54-7;52-14;44-8,44-6,60,3
random,random_robot_36,10,6,1,SimpleHill,0-0,0,31,44-6,37-6;52-10;42-13;43-2;47-4;47-5,47-5,59,-1
random,random_robot_36,10,6,1,SimpleHill,0-0,0,32,47-5,39-11;42-10;54-4;43-0;54-5;38-2,38-2,51,-8
random,random_robot_36,10,6,1,SimpleHill,0-0,0,33,38-2,35-8;33-10;33-3;46-6;35-7;39-1,35-8,60,9
random,random_robot_36,10,6,1,SimpleHill,0-0,0,34,35-8,35-3;28-6;32-5;27-10;29-15;41-9,32-5,53,-7
random,random_robot_36,10,6,1,SimpleHill,0-0,0,35,32-5,38-4;37-10;31-6;25-9;25-10;24-0,25-9,53,0
random,random_robot_36,10,6,1,SimpleHill,0-0,0,36,25-9,20-3;29-10;32-6;17-15;30-4;21-5,20-3,37,-16
random,random_robot_36,10,6,1,SimpleHill,0-0,0,37,20-3,15-6;15-4;28-8;27-7;23-12;26-11,28-8,55,18
random,random_robot_36,10,6,1,SimpleHill,0-0,0,38,28-8,32-2;20-12;30-13;33-0;24-4;36-3,30-13,64,9
random,random_robot_36,10,6,1,SimpleHill,0-0,0,39,30-13,31-14;28-14;27-13;36-16;38-9;29-22,38-9,63,-1
random,random_robot_36,10,6,1,SimpleHill,0-0,0,40,38-9,32-17;35-0;45-2;47-12;33-2;35-10,33-2,48,-15
random,random_robot_36,10,6,1,SimpleHill,0-0,0,41,33-2,25-0;36-6;24-6;37-6;41-0;32-10,37-6,57,9
random,random_robot_36,10,6,1,SimpleHill,0-0,0,42,37-6,46-8;39-10;40-11;40-10;33-10;33-14,39-10,65,8
random,random_robot_36,10,6,1,SimpleHill,0-0,0,43,39-10,40-13;38-5;37-14;48-13;39-19;39-1,38-5,56,-9
random,random_robot_36,10,6,1,SimpleHill,0-0,0,44,38-5,41-5;36-4;41-9;39-2;45-4;31-9,36-4,53,-3
random,random_robot_36,10,6,1,SimpleHill,0-0,0,45,36-4,37-7;38-7;37-8;34-3;45-6;39-4,34-3,50,-3
random,random_robot_36,10,6,1,SimpleHill,0-0,0,46,34-3,39-8;37-5;27-3;30-8;34-2;41-5,27-3,45,-5
random,random_robot_36,10,6,1,SimpleHill,0-0,0,47,27-3,25-3;35-2;19-0;27-5;34-7;19-8,34-7,57,12
random,random_robot_36,10,6,1,SimpleHill,0-0,0,48,34-7,43-8;27-6;40-11;36-5;35-2;30-0,40-11,67,10
random,random_robot_36,10,6,1,SimpleHill,0-0,0,49,40-11,46-3;40-21;42-13;45-4;44-2;42-12,44-2,53,-14
random,random_robot_36,10,6,1,SimpleHill,0-0,0,50,44-2,49-2;41-1;38-10;51-7;42-5;53-2,42-5,58,5
random,random_robot_36,10,6,1,SimpleHill,0-0,0,51,42-5,44-11;39-10;45-13;40-5;48-8;41-9,44-11,68,10
random,random_robot_36,10,6,1,SimpleHill,0-0,0,52,44-11,48-6;52-7;49-10;48-3;52-5;46-7,48-6,61,-7
random,random_robot_36,10,6,1,SimpleHill,0-0,0,53,48-6,49-15;44-14;54-1;39-9;51-9;52-4,44-14,73,12
random,random_robot_36,10,6,1,SimpleHill,0-0,0,54,44-14,52-18;36-14;37-13;40-18;43-10;41-14,52-18,79,6
random,random_robot_36,10,6,1,SimpleHill,0-0,0,55,52-18,50-22;57-26;56-16;52-16;56-9;55-15,50-22,84,5
random,random_robot_36,10,6,1,SimpleHill,0-0,0,56,50-22,43-28;41-23;54-24;54-15;48-23;40-22,54-24,86,2
random,random_robot_36,10,6,1,SimpleHill,0-0,0,57,54-24,48-28;59-30;48-20;49-22;49-32;50-18,59-30,90,4
random,random_robot_36,10,6,1,SimpleHill,0-0,0,58,59-30,56-34;59-33;51-31;65-24;63-36;57-33,65-24,81,-9
random,random_robot_36,10,6,1,SimpleHill,0-0,0,59,65-24,63-19;70-16;67-22;60-19;68-20;69-29,63-19,77,-4
random,random_robot_36,10,6,1,SimpleHill,0-0,0,60,63-19,55-22;65-21;66-16;60-22;70-26;68-25,66-16,71,-6
random,random_robot_36,10,6,1,SimpleHill,0-0,0,61,66-16,65-7;63-21;57-17;63-8;67-14;64-21,65-7,58,-13
random,random_robot_36,10,6,1,SimpleHill,0-0,0,62,65-7,67-0;62-11;66-9;59-2;69-13;63-10,69-13,65,7
random,random_robot_36,10,6,1,SimpleHill,0-0,0,63,69-13,62-17;62-13;68-13;63-15;70-8;61-11,61-11,67,2
random,random_robot_36,10,6,1,SimpleHill,0-0,0,64,61-11,64-6;63-7;61-11;56-7;55-6;55-9,55-6,60,-7
random,random_robot_36,10,6,1,SimpleHill,0-0,0,65,55-6,57-10;54-9;53-11;56-1;55-8;46-9,56-1,51,-9
random,random_robot_36,10,6,1,SimpleHill,0-0,0,66,56-1,56-3;48-5;52-7;65-3;59-4;54-1,56-3,55,4
random,random_robot_36,10,6,1,SimpleHill,0-0,0,67,56-3,65-5;52-6;61-11;58-12;61-9;64-3,64-3,51,-4
random,random_robot_36,10,6,1,SimpleHill,0-0,0,68,64-3,63-11;64-11;68-2;68-1;58-3;69-0,64-11,65,14
random,random_robot_36,10,6,1,SimpleHill,0-0,0,69,64-11,68-20;64-19;62-10;59-7;66-15;68-13,64-19,76,11
