simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_92,10,6,1,SimpleHill,0-0,0,0,0-0,0-5;1-7;1-2;4-8;3-8;3-4,1-2,5,5
random,random_robot_92,10,6,1,SimpleHill,0-0,0,1,1-2,5-5;0-10;1-1;1-0;5-8;4-0,1-1,3,-2
random,random_robot_92,10,6,1,SimpleHill,0-0,0,2,1-1,0-1;5-7;3-5;0-4;2-1;9-2,0-4,7,4
random,random_robot_92,10,6,1,SimpleHill,0-0,0,3,0-4,7-7;9-8;4-4;6-5;7-9;2-8,4-4,15,8
random,random_robot_92,10,6,1,SimpleHill,0-0,0,4,4-4,8-7;8-3;3-1;6-9;9-6;4-0,6-9,27,12
random,random_robot_92,10,6,1,SimpleHill,0-0,0,5,6-9,3-17;5-12;15-11;4-6;1-12;4-1,1-12,23,-4
random,random_robot_92,10,6,1,SimpleHill,0-0,0,6,1-12,7-14;3-15;8-10;7-8;5-10;4-17,8-10,32,9
random,random_robot_92,10,6,1,SimpleHill,0-0,0,7,8-10,5-12;11-4;12-3;8-4;5-8;10-11,10-11,37,5
random,random_robot_92,10,6,1,SimpleHill,0-0,0,8,10-11,11-13;15-9;2-9;10-2;13-20;12-15,2-9,20,-17
random,random_robot_92,10,6,1,SimpleHill,0-0,0,9,2-9,3-10;8-9;9-10;2-7;6-18;9-16,9-10,34,14
random,random_robot_92,10,6,1,SimpleHill,0-0,0,10,9-10,8-16;11-13;14-17;9-2;17-4;0-10,11-13,42,8
random,random_robot_92,10,6,1,SimpleHill,0-0,0,11,11-13,15-10;15-13;8-19;5-8;5-20;6-11,5-20,41,-1
random,random_robot_92,10,6,1,SimpleHill,0-0,0,12,5-20,4-11;4-29;9-22;7-26;12-18;1-25,4-29,48,7
random,random_robot_92,10,6,1,SimpleHill,0-0,0,13,4-29,7-35;5-34;2-23;6-34;6-36;3-21,7-35,58,10
random,random_robot_92,10,6,1,SimpleHill,0-0,0,14,7-35,6-28;14-37;9-37;7-42;14-41;14-29,7-42,61,3
random,random_robot_92,10,6,1,SimpleHill,0-0,0,15,7-42,1-35;10-33;4-39;12-42;7-34;1-48,1-35,47,-14
random,random_robot_92,10,6,1,SimpleHill,0-0,0,16,1-35,2-44;0-36;8-30;9-32;0-33;6-29,8-30,56,9
random,random_robot_92,10,6,1,SimpleHill,0-0,0,17,8-30,13-22;5-28;13-37;13-27;3-29;12-39,3-29,47,-9
random,random_robot_92,10,6,1,SimpleHill,0-0,0,18,3-29,8-37;4-33;1-26;4-22;9-21;2-32,1-26,40,-7
random,random_robot_92,10,6,1,SimpleHill,0-0,0,19,1-26,4-34;7-21;3-17;7-22;8-26;2-25,7-22,47,7
random,random_robot_92,10,6,1,SimpleHill,0-0,0,20,7-22,14-19;11-21;8-18;11-17;10-24;2-23,2-23,39,-8
random,random_robot_92,10,6,1,SimpleHill,0-0,0,21,2-23,0-30;2-25;7-15;7-27;3-22;5-32,7-15,38,-1
random,random_robot_92,10,6,1,SimpleHill,0-0,0,22,7-15,4-11;2-16;16-15;13-8;3-11;5-6,13-8,37,-1
random,random_robot_92,10,6,1,SimpleHill,0-0,0,23,13-8,7-2;14-4;11-13;21-8;11-5;12-2,12-2,25,-12
random,random_robot_92,10,6,1,SimpleHill,0-0,0,24,12-2,8-9;18-9;11-2;17-9;7-10;16-2,18-9,45,20
random,random_robot_92,10,6,1,SimpleHill,0-0,0,25,18-9,18-16;24-15;25-16;16-0;17-10;26-13,17-10,46,1
random,random_robot_92,10,6,1,SimpleHill,0-0,0,26,17-10,16-15;22-12;8-7;10-4;13-17;23-12,10-4,25,-21
random,random_robot_92,10,6,1,SimpleHill,0-0,0,27,10-4,4-2;19-0;19-4;17-6;19-3;1-1,19-0,30,5
random,random_robot_92,10,6,1,SimpleHill,0-0,0,28,19-0,28-0;21-3;19-7;20-0;18-6;23-5,18-6,40,10
random,random_robot_92,10,6,1,SimpleHill,0-0,0,29,18-6,21-2;10-11;25-4;26-12;15-10;11-7,15-10,43,3
random,random_robot_92,10,6,1,SimpleHill,0-0,0,30,15-10,22-17;6-13;23-9;14-19;15-9;14-12,6-13,33,-10
random,random_robot_92,10,6,1,SimpleHill,0-0,0,31,6-13,5-11;1-19;9-21;3-8;11-19;4-11,1-19,32,-1
random,random_robot_92,10,6,1,SimpleHill,0-0,0,32,1-19,0-28;0-23;1-15;0-24;9-21;11-19,0-28,40,8
random,random_robot_92,10,6,1,SimpleHill,0-0,0,33,0-28,3-35;3-21;7-23;4-23;1-33;3-31,3-21,39,-1
random,random_robot_92,10,6,1,SimpleHill,0-0,0,34,3-21,1-20;13-21;4-13;1-28;5-28;12-20,5-28,49,10
random,random_robot_92,10,6,1,SimpleHill,0-0,0,35,5-28,5-19;8-23;7-37;11-28;7-29;5-38,5-38,56,7
random,random_robot_92,10,6,1,SimpleHill,0-0,0,36,5-38,13-39;11-36;6-41;2-30;12-32;8-35,6-41,59,3
random,random_robot_92,10,6,1,SimpleHill,0-0,0,37,6-41,3-43;14-47;8-45;6-33;7-37;11-35,14-47,73,14
random,random_robot_92,10,6,1,SimpleHill,0-0,0,38,14-47,17-45;16-47;10-51;16-44;22-43;22-51,22-43,83,10
random,random_robot_92,10,6,1,SimpleHill,0-0,0,39,22-43,23-36;17-47;31-44;12-43;15-37;31-39,17-47,78,-5
