simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_2,10,6,1,SimpleHill,0-0,0,0,0-0,1-1;2-9;6-6;6-7;2-4;0-8,6-7,24,24
random,random_robot_2,10,6,1,SimpleHill,0-0,0,1,6-7,8-0;13-10;2-0;1-10;5-3;5-14,13-10,40,16
random,random_robot_2,10,6,1,SimpleHill,0-0,0,2,13-10,19-14;6-16;11-5;20-12;18-3;9-1,19-14,54,14
random,random_robot_2,10,6,1,SimpleHill,0-0,0,3,19-14,13-16;12-8;13-22;11-9;28-10;24-20,24-20,68,14
random,random_robot_2,10,6,1,SimpleHill,0-0,0,4,24-20,22-23;22-28;26-24;19-16;29-13;24-18,22-28,74,6
random,random_robot_2,10,6,1,SimpleHill,0-0,0,5,22-28,31-26;14-26;17-34;21-35;19-20;21-34,31-26,81,7
random,random_robot_2,10,6,1,SimpleHill,0-0,0,6,31-26,26-34;32-31;32-32;34-19;36-34;26-18,36-34,90,9
random,random_robot_2,10,6,1,SimpleHill,0-0,0,7,36-34,39-27;31-28;38-34;37-35;42-38;39-29,42-38,95,5
random,random_robot_2,10,6,1,SimpleHill,0-0,0,8,42-38,35-40;42-44;37-31;50-44;34-41;45-40,50-44,99,4
random,random_robot_2,10,6,1,SimpleHill,0-0,0,9,50-44,45-49;56-49;51-53;49-40;41-44;50-40,45-49,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,10,45-49,41-56;39-45;39-52;46-54;43-43;41-53,46-54,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,11,46-54,41-54;39-50;52-56;44-46;54-58;43-51,43-51,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,12,43-51,50-49;43-54;40-56;50-47;49-57;46-44,50-49,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,13,50-49,56-54;52-42;51-42;48-41;46-46;47-47,46-46,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,14,46-46,44-46;54-40;54-47;47-38;53-41;45-43,54-47,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,15,54-47,53-41;53-38;58-39;55-45;55-50;50-50,50-50,100,1
random,random_robot_2,10,6,1,SimpleHill,0-0,0,16,50-50,48-42;48-44;51-50;47-48;52-47;42-46,47-48,99,-1
random,random_robot_2,10,6,1,SimpleHill,0-0,0,17,47-48,45-57;53-42;50-55;52-54;45-50;48-44,45-50,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,18,45-50,38-47;37-52;46-42;41-45;46-47;43-43,46-47,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,19,46-47,55-45;50-44;48-49;42-38;38-41;47-47,55-45,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,20,55-45,51-53;61-44;53-40;51-36;60-52;57-51,51-53,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,21,51-53,59-48;50-57;58-54;60-49;45-52;55-61,45-52,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,22,45-52,49-56;39-51;51-49;49-50;50-51;51-44,49-56,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,23,49-56,47-56;55-56;42-62;45-51;52-54;57-53,47-56,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,24,47-56,40-62;53-49;50-61;38-52;43-52;55-60,53-49,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,25,53-49,50-58;62-45;49-42;46-51;54-49;58-53,46-51,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,26,46-51,55-53;43-45;43-52;47-43;44-53;41-47,55-53,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,27,55-53,63-50;47-49;52-60;64-56;53-52;63-58,47-49,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,28,47-49,48-52;49-44;56-45;43-43;52-56;54-52,48-52,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,29,48-52,42-48;44-57;42-52;41-57;42-55;48-56,48-56,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,30,48-56,44-56;49-55;45-53;44-55;55-57;41-55,45-53,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,31,45-53,47-53;46-44;48-57;46-53;41-52;51-54,47-53,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,32,47-53,47-54;48-50;44-47;50-62;47-57;46-57,47-54,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,33,47-54,47-61;44-50;50-56;43-55;49-55;49-60,44-50,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,34,44-50,49-52;50-58;53-46;40-50;45-58;35-48,49-52,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,35,49-52,53-54;39-52;46-54;46-50;48-52;51-43,53-54,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,36,53-54,50-53;56-55;46-59;54-53;54-54;56-49,50-53,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,37,50-53,50-60;51-51;43-50;53-46;50-49;56-47,43-50,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,38,43-50,49-51;48-50;46-58;48-46;37-53;51-46,49-51,99,0
random,random_robot_2,10,6,1,SimpleHill,0-0,0,39,49-51,56-45;57-51;55-43;51-46;53-54;42-46,51-46,99,0
