simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_144,10,6,1,SimpleHill,0-0,0,0,0-0,2-2;5-5;1-2;1-7;3-6;5-8,3-6,17,17
random,random_robot_144,10,6,1,SimpleHill,0-0,0,1,3-6,2-13;11-11;3-5;10-2;3-13;10-1,3-5,15,-2
random,random_robot_144,10,6,1,SimpleHill,0-0,0,2,3-5,11-9;3-4;0-6;7-4;3-15;11-6,11-9,35,20
random,random_robot_144,10,6,1,SimpleHill,0-0,0,3,11-9,7-1;9-13;6-12;19-14;10-17;11-18,19-14,54,19
random,random_robot_144,10,6,1,SimpleHill,0-0,0,4,19-14,16-14;14-17;12-9;20-23;13-13;16-21,12-9,37,-17
random,random_robot_144,10,6,1,SimpleHill,0-0,0,5,12-9,17-9;8-0;8-5;14-2;11-5;7-3,8-5,24,-13
random,random_robot_144,10,6,1,SimpleHill,0-0,0,6,8-5,17-2;1-5;17-7;0-5;12-4;6-4,17-2,32,8
random,random_robot_144,10,6,1,SimpleHill,0-0,0,7,17-2,25-1;21-11;9-5;17-7;25-7;12-6,12-6,32,0
random,random_robot_144,10,6,1,SimpleHill,0-0,0,8,12-6,9-2;15-13;16-12;12-16;3-3;16-2,15-13,48,16
random,random_robot_144,10,6,1,SimpleHill,0-0,0,9,15-13,15-21;8-12;20-10;9-16;21-21;7-8,7-8,27,-21
random,random_robot_144,10,6,1,SimpleHill,0-0,0,10,7-8,0-9;1-6;15-5;5-16;6-4;10-17,1-6,13,-14
random,random_robot_144,10,6,1,SimpleHill,0-0,0,11,1-6,1-8;7-14;4-6;8-8;4-13;6-4,7-14,37,24
random,random_robot_144,10,6,1,SimpleHill,0-0,0,12,7-14,0-8;0-20;16-15;12-15;7-8;6-6,0-8,14,-23
random,random_robot_144,10,6,1,SimpleHill,0-0,0,13,0-8,3-15;8-13;0-6;9-10;4-15;5-7,0-6,11,-3
random,random_robot_144,10,6,1,SimpleHill,0-0,0,14,0-6,4-15;9-10;5-13;1-15;0-4;3-8,5-13,32,21
random,random_robot_144,10,6,1,SimpleHill,0-0,0,15,5-13,8-18;6-21;14-9;1-20;11-12;6-8,14-9,40,8
random,random_robot_144,10,6,1,SimpleHill,0-0,0,16,14-9,19-2;21-10;13-5;20-14;7-9;8-4,21-10,51,11
random,random_robot_144,10,6,1,SimpleHill,0-0,0,17,21-10,24-7;20-3;20-16;22-8;26-16;16-4,20-3,37,-14
random,random_robot_144,10,6,1,SimpleHill,0-0,0,18,20-3,15-1;17-11;17-8;29-5;20-13;15-8,17-8,42,5
random,random_robot_144,10,6,1,SimpleHill,0-0,0,19,17-8,8-6;21-3;16-3;26-10;10-7;25-4,25-4,45,3
random,random_robot_144,10,6,1,SimpleHill,0-0,0,20,25-4,21-13;33-2;33-5;21-6;34-0;25-8,34-0,44,-1
random,random_robot_144,10,6,1,SimpleHill,0-0,0,21,34-0,44-0;29-6;37-1;36-1;28-5;37-5,28-5,49,5
random,random_robot_144,10,6,1,SimpleHill,0-0,0,22,28-5,25-4;33-5;31-10;26-4;23-2;20-6,31-10,60,11
random,random_robot_144,10,6,1,SimpleHill,0-0,0,23,31-10,33-6;30-13;37-10;32-11;27-11;27-17,37-10,64,4
random,random_robot_144,10,6,1,SimpleHill,0-0,0,24,37-10,37-7;31-12;30-9;34-7;44-13;34-11,30-9,58,-6
random,random_robot_144,10,6,1,SimpleHill,0-0,0,25,30-9,24-5;33-15;23-5;39-5;37-7;38-3,33-15,69,11
