simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_8,10,6,1,SimpleHill,0-0,0,0,0-0,6-0;4-0;3-9;3-0;8-5;1-0,8-5,24,24
random,random_robot_8,10,6,1,SimpleHill,0-0,0,1,8-5,9-1;6-3;16-8;12-14;3-4;0-3,12-14,45,21
random,random_robot_8,10,6,1,SimpleHill,0-0,0,2,12-14,11-21;11-7;7-17;14-21;16-7;10-18,14-21,57,12
random,random_robot_8,10,6,1,SimpleHill,0-0,0,3,14-21,19-26;10-14;17-16;7-19;7-20;7-18,19-26,69,12
random,random_robot_8,10,6,1,SimpleHill,0-0,0,4,19-26,15-19;25-18;11-22;13-25;24-34;19-33,24-34,81,12
random,random_robot_8,10,6,1,SimpleHill,0-0,0,5,24-34,23-26;15-35;28-35;20-37;26-37;29-40,29-40,89,8
random,random_robot_8,10,6,1,SimpleHill,0-0,0,6,29-40,30-34;33-34;23-34;22-38;38-41;21-45,38-41,95,6
random,random_robot_8,10,6,1,SimpleHill,0-0,0,7,38-41,43-42;37-42;34-39;44-47;31-47;42-35,44-47,99,4
random,random_robot_8,10,6,1,SimpleHill,0-0,0,8,44-47,39-54;37-41;52-43;37-44;51-42;37-53,52-43,98,-1
random,random_robot_8,10,6,1,SimpleHill,0-0,0,9,52-43,44-43;61-40;48-40;58-44;48-47;52-39,48-47,99,1
random,random_robot_8,10,6,1,SimpleHill,0-0,0,10,48-47,40-53;44-44;42-50;49-48;54-51;41-53,49-48,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,11,49-48,48-56;57-52;50-52;54-44;52-47;44-43,48-56,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,12,48-56,43-62;54-53;42-53;53-48;44-65;44-61,54-53,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,13,54-53,59-50;51-50;59-57;54-63;48-54;56-55,51-50,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,14,51-50,53-41;55-53;44-57;52-47;43-46;52-51,55-53,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,15,55-53,50-47;62-54;53-57;52-59;58-59;61-50,50-47,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,16,50-47,52-49;58-47;48-45;56-52;55-49;46-41,52-49,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,17,52-49,51-42;43-53;45-54;52-57;57-52;44-52,45-54,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,18,45-54,53-51;41-45;38-59;44-48;40-52;37-51,53-51,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,19,53-51,52-58;46-48;52-54;45-51;46-51;49-59,46-48,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,20,46-48,45-43;49-55;48-51;50-39;49-56;47-55,49-55,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,21,49-55,46-55;51-60;54-57;49-64;48-60;57-54,46-55,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,22,46-55,50-55;54-49;52-58;40-59;48-57;44-48,50-55,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,23,50-55,49-55;56-52;57-52;56-63;51-52;46-61,49-55,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,24,49-55,57-54;48-48;57-60;56-61;43-56;45-58,48-48,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,25,48-48,55-55;48-39;46-40;47-46;54-44;41-48,55-55,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,26,55-55,63-61;57-52;62-55;58-51;55-48;59-55,55-48,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,27,55-48,58-49;64-48;60-41;54-54;53-43;62-41,54-54,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,28,54-54,55-54;55-48;59-61;56-55;61-48;59-60,55-54,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,29,55-54,60-47;51-51;51-58;49-56;55-56;57-56,51-51,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,30,51-51,54-58;59-55;49-57;42-55;54-43;44-47,49-57,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,31,49-57,40-55;45-57;48-64;40-58;52-54;49-65,52-54,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,32,52-54,52-59;59-55;44-48;52-61;47-61;60-58,44-48,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,33,44-48,41-54;43-46;51-49;44-41;38-48;39-44,51-49,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,34,51-49,46-46;47-46;46-57;48-53;45-51;54-45,46-46,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,35,46-46,49-38;44-47;49-37;50-48;43-37;37-47,44-47,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,36,44-47,39-53;36-47;43-44;44-46;45-50;42-53,45-50,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,37,45-50,48-55;40-56;50-47;47-52;35-50;41-42,48-55,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,38,48-55,48-59;51-58;48-53;40-56;56-59;46-64,48-53,99,0
random,random_robot_8,10,6,1,SimpleHill,0-0,0,39,48-53,44-51;40-51;54-47;40-47;53-61;43-55,44-51,99,0
