simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,0,0-0,3-1;7-2;1-4;9-1;3-0;3-7,3-7,18,18
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,1,3-7,7-13;9-9;5-6;0-1;0-4;6-5,7-13,35,17
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,2,7-13,16-11;5-6;4-4;9-16;1-21;3-14,16-11,46,11
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,3,16-11,17-3;12-6;22-13;13-18;16-19;22-9,16-19,57,11
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,4,16-19,18-13;18-28;17-20;15-20;23-22;18-15,18-28,69,12
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,5,18-28,16-34;17-21;18-22;12-25;16-32;13-22,16-34,71,2
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,6,16-34,16-25;13-25;24-30;13-39;15-35;8-34,24-30,78,7
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,7,24-30,15-30;18-35;22-27;18-23;28-38;31-26,28-38,87,9
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,8,28-38,35-45;27-42;28-44;36-35;28-30;21-45,35-45,95,8
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,9,35-45,34-40;34-47;45-45;44-47;39-36;28-50,44-47,99,4
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,10,44-47,44-47;36-53;36-41;46-44;47-38;42-52,44-47,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,11,44-47,46-56;39-45;40-48;45-45;44-38;49-55,45-45,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,12,45-45,51-38;44-50;38-48;51-44;43-50;49-51,43-50,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,13,43-50,40-55;48-50;45-54;38-56;49-47;47-44,45-54,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,14,45-54,44-63;40-46;41-48;41-56;43-56;41-58,41-48,98,-1
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,15,41-48,35-42;46-47;45-49;40-44;34-43;48-44,45-49,99,1
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,16,45-49,46-48;48-46;43-49;50-46;36-50;41-55,46-48,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,17,46-48,50-40;50-49;43-43;44-42;37-44;38-53,50-49,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,18,50-49,49-47;56-57;47-49;56-51;48-42;57-53,49-47,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,19,49-47,53-49;44-40;45-56;55-44;58-45;40-43,53-49,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,20,53-49,54-46;52-43;57-46;51-58;54-50;54-47,54-46,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,21,54-46,61-53;61-49;57-38;52-47;46-43;62-46,52-47,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,22,52-47,47-40;50-39;61-43;56-46;47-53;43-48,47-53,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,23,47-53,45-61;53-56;43-61;51-60;56-52;48-56,48-56,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,24,48-56,51-55;56-53;56-59;54-48;53-64;48-53,51-55,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,25,51-55,54-62;52-51;46-60;44-54;50-64;47-54,47-54,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,26,47-54,51-58;40-47;49-47;43-50;48-61;53-59,43-50,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,27,43-50,39-57;44-59;36-49;43-43;38-53;43-52,43-43,98,-1
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,28,43-43,41-42;49-41;45-46;42-48;42-52;38-46,45-46,99,1
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,29,45-46,42-40;47-39;52-50;42-55;46-48;46-54,46-48,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,30,46-48,47-39;43-51;43-54;45-44;43-41;40-41,43-51,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,31,43-51,36-47;39-57;38-53;45-56;36-49;46-54,46-54,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,32,46-54,52-50;53-49;46-47;47-56;46-52;53-48,52-50,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,33,52-50,55-44;52-51;58-44;47-56;54-41;52-56,47-56,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,34,47-56,52-62;45-64;46-53;53-60;42-52;53-57,46-53,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,35,46-53,45-51;49-59;47-46;49-46;52-58;51-61,45-51,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,36,45-51,39-57;47-60;39-44;48-52;53-49;51-53,48-52,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,37,48-52,56-55;54-56;51-45;44-60;43-60;51-44,51-44,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,38,51-44,52-36;58-47;45-51;55-39;49-52;60-40,45-51,99,0
optimal,random_robot_58,10,6,1,SimpleHill,0-0,0,39,45-51,53-50;52-57;54-52;44-53;41-56;52-58,53-50,99,0
