simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,0,0-0,9-0;4-9;0-8;1-8;3-8;5-0,4-9,24,24
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,1,4-9,8-1;12-6;6-7;11-8;10-8;6-0,11-8,34,10
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,2,11-8,19-7;16-1;7-6;10-5;7-17;8-2,19-7,43,9
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,3,19-7,18-11;28-10;13-1;14-12;20-1;28-11,28-11,59,16
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,4,28-11,19-13;19-8;23-7;21-10;28-11;25-9,28-11,59,0
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,5,28-11,28-19;36-15;29-15;34-11;27-18;31-10,28-19,71,12
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,6,28-19,37-20;35-15;23-12;26-15;25-20;28-19,37-20,78,7
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,7,37-20,35-25;31-20;41-24;29-18;44-21;44-17,41-24,84,6
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,8,41-24,48-21;49-29;48-25;38-28;48-31;39-16,48-31,92,8
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,9,48-31,43-27;44-39;47-26;46-37;53-35;51-30,44-39,96,4
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,10,44-39,41-48;40-44;39-35;45-32;48-41;52-37,41-48,98,2
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,11,41-48,32-44;37-56;45-44;40-41;33-53;40-43,45-44,98,0
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,12,45-44,49-44;49-49;42-42;37-40;41-35;46-40,49-44,99,1
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,13,49-44,45-44;45-52;43-41;41-46;59-44;50-45,45-52,99,0
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,14,45-52,45-44;44-44;48-48;52-56;40-49;37-57,48-48,99,0
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,15,48-48,57-47;55-46;51-41;49-47;44-47;53-40,44-47,99,0
optimal,random_robot_68,10,6,1,SimpleHill,0-0,0,16,44-47,42-54;52-52;47-44;51-44;41-48;37-51,47-44,99,0
