simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_75,10,6,1,SimpleHill,0-0,0,0,0-0,6-3;6-5;3-0;2-0;1-9;7-4,6-3,17,17
random,random_robot_75,10,6,1,SimpleHill,0-0,0,1,6-3,8-8;11-5;5-6;12-11;9-1;9-5,8-8,29,12
random,random_robot_75,10,6,1,SimpleHill,0-0,0,2,8-8,2-7;2-6;0-5;8-10;4-0;14-8,8-10,32,3
random,random_robot_75,10,6,1,SimpleHill,0-0,0,3,8-10,15-15;0-16;13-15;8-3;1-10;8-9,0-16,26,-6
random,random_robot_75,10,6,1,SimpleHill,0-0,0,4,0-16,1-12;3-25;3-24;9-15;0-17;8-13,1-12,23,-3
random,random_robot_75,10,6,1,SimpleHill,0-0,0,5,1-12,5-7;0-20;1-20;5-12;2-10;9-17,5-7,22,-1
random,random_robot_75,10,6,1,SimpleHill,0-0,0,6,5-7,9-2;10-2;8-3;4-16;7-2;10-4,8-3,20,-2
random,random_robot_75,10,6,1,SimpleHill,0-0,0,7,8-3,14-11;3-10;16-0;0-6;16-2;13-1,16-0,26,6
random,random_robot_75,10,6,1,SimpleHill,0-0,0,8,16-0,22-4;13-9;13-6;23-0;13-1;12-2,13-9,39,13
random,random_robot_75,10,6,1,SimpleHill,0-0,0,9,13-9,7-2;8-13;17-17;5-12;12-4;13-19,7-2,16,-23
random,random_robot_75,10,6,1,SimpleHill,0-0,0,10,7-2,1-10;3-6;11-7;13-9;3-3;2-5,13-9,39,23
random,random_robot_75,10,6,1,SimpleHill,0-0,0,11,13-9,13-4;4-10;20-8;6-12;19-10;12-6,12-6,32,-7
random,random_robot_75,10,6,1,SimpleHill,0-0,0,12,12-6,17-2;11-1;17-12;14-14;10-4;11-6,14-14,48,16
random,random_robot_75,10,6,1,SimpleHill,0-0,0,13,14-14,10-11;10-7;19-22;7-8;19-10;17-18,10-7,31,-17
random,random_robot_75,10,6,1,SimpleHill,0-0,0,14,10-7,8-15;3-14;17-2;7-5;10-8;1-10,1-10,19,-12
random,random_robot_75,10,6,1,SimpleHill,0-0,0,15,1-10,3-9;4-5;7-13;5-10;0-5;1-0,7-13,35,16
random,random_robot_75,10,6,1,SimpleHill,0-0,0,16,7-13,13-15;2-15;8-7;4-7;11-8;4-15,11-8,34,-1
random,random_robot_75,10,6,1,SimpleHill,0-0,0,17,11-8,8-15;18-3;5-6;11-15;15-8;14-7,15-8,40,6
random,random_robot_75,10,6,1,SimpleHill,0-0,0,18,15-8,14-8;18-4;18-14;22-11;24-6;13-9,14-8,38,-2
random,random_robot_75,10,6,1,SimpleHill,0-0,0,19,14-8,17-9;18-13;7-10;15-11;10-0;11-15,17-9,44,6
random,random_robot_75,10,6,1,SimpleHill,0-0,0,20,17-9,20-16;23-12;18-5;11-5;11-14;19-10,20-16,58,14
random,random_robot_75,10,6,1,SimpleHill,0-0,0,21,20-16,19-13;29-13;27-23;22-13;24-13;28-17,24-13,59,1
random,random_robot_75,10,6,1,SimpleHill,0-0,0,22,24-13,25-18;20-5;29-14;26-10;28-7;30-14,28-7,53,-6
random,random_robot_75,10,6,1,SimpleHill,0-0,0,23,28-7,27-0;27-6;24-1;31-7;29-9;37-11,27-0,39,-14
random,random_robot_75,10,6,1,SimpleHill,0-0,0,24,27-0,22-0;21-5;29-5;26-3;26-5;24-0,26-5,47,8
random,random_robot_75,10,6,1,SimpleHill,0-0,0,25,26-5,34-10;25-13;27-7;24-14;29-1;21-9,29-1,43,-4
random,random_robot_75,10,6,1,SimpleHill,0-0,0,26,29-1,31-7;24-2;34-6;24-8;26-7;22-7,34-6,56,13
random,random_robot_75,10,6,1,SimpleHill,0-0,0,27,34-6,25-6;39-4;39-8;30-12;32-0;30-9,39-4,55,-1
random,random_robot_75,10,6,1,SimpleHill,0-0,0,28,39-4,36-1;45-0;33-1;45-5;44-12;48-0,45-5,59,4
random,random_robot_75,10,6,1,SimpleHill,0-0,0,29,45-5,40-11;55-5;40-5;44-11;37-8;54-9,55-5,59,0
random,random_robot_75,10,6,1,SimpleHill,0-0,0,30,55-5,52-14;60-12;51-12;48-10;47-10;53-8,51-12,71,12
random,random_robot_75,10,6,1,SimpleHill,0-0,0,31,51-12,56-12;57-15;58-9;53-3;48-3;46-5,53-3,55,-16
random,random_robot_75,10,6,1,SimpleHill,0-0,0,32,53-3,48-11;49-11;57-1;56-6;50-8;62-5,57-1,51,-4
random,random_robot_75,10,6,1,SimpleHill,0-0,0,33,57-1,52-5;56-2;50-1;56-1;61-2;62-2,50-1,51,0
random,random_robot_75,10,6,1,SimpleHill,0-0,0,34,50-1,43-8;52-9;49-2;58-0;44-6;53-9,52-9,66,15
random,random_robot_75,10,6,1,SimpleHill,0-0,0,35,52-9,54-8;60-8;48-18;61-9;54-12;53-7,61-9,63,-3
random,random_robot_75,10,6,1,SimpleHill,0-0,0,36,61-9,52-12;67-10;65-5;56-6;63-7;62-4,62-4,54,-9
random,random_robot_75,10,6,1,SimpleHill,0-0,0,37,62-4,54-1;58-3;62-2;66-12;66-9;67-8,54-1,51,-3
random,random_robot_75,10,6,1,SimpleHill,0-0,0,38,54-1,55-5;49-6;56-9;50-8;59-8;53-5,50-8,64,13
random,random_robot_75,10,6,1,SimpleHill,0-0,0,39,50-8,44-12;51-10;50-5;51-1;42-4;58-9,42-4,56,-8
