simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_33,10,6,1,SimpleHill,0-0,0,0,0-0,5-0;5-7;1-8;2-1;7-3;8-1,7-3,18,18
random,random_robot_33,10,6,1,SimpleHill,0-0,0,1,7-3,11-1;11-3;5-7;12-9;9-3;9-1,11-1,21,3
random,random_robot_33,10,6,1,SimpleHill,0-0,0,2,11-1,3-3;14-10;8-2;18-3;14-9;18-6,8-2,18,-3
random,random_robot_33,10,6,1,SimpleHill,0-0,0,3,8-2,17-4;5-5;15-6;10-11;16-7;2-1,15-6,36,18
random,random_robot_33,10,6,1,SimpleHill,0-0,0,4,15-6,19-5;8-3;6-10;18-10;15-4;20-6,8-3,20,-16
random,random_robot_33,10,6,1,SimpleHill,0-0,0,5,8-3,10-4;2-6;16-4;13-4;15-2;16-7,2-6,15,-5
random,random_robot_33,10,6,1,SimpleHill,0-0,0,6,2-6,7-13;7-10;11-3;7-0;8-2;4-14,7-0,13,-2
random,random_robot_33,10,6,1,SimpleHill,0-0,0,7,7-0,11-6;10-1;6-5;4-9;9-4;1-6,1-6,13,0
random,random_robot_33,10,6,1,SimpleHill,0-0,0,8,1-6,0-0;10-9;2-15;2-9;8-8;0-14,2-9,20,7
random,random_robot_33,10,6,1,SimpleHill,0-0,0,9,2-9,2-2;6-13;4-5;7-17;8-14;4-15,8-14,38,18
random,random_robot_33,10,6,1,SimpleHill,0-0,0,10,8-14,8-8;10-22;10-9;2-14;0-15;10-6,10-9,34,-4
random,random_robot_33,10,6,1,SimpleHill,0-0,0,11,10-9,14-2;8-1;13-18;13-7;6-8;15-7,15-7,38,4
random,random_robot_33,10,6,1,SimpleHill,0-0,0,12,15-7,16-8;16-12;20-3;14-10;10-4;21-13,14-10,42,4
random,random_robot_33,10,6,1,SimpleHill,0-0,0,13,14-10,17-19;10-17;12-1;19-18;21-10;6-12,10-17,46,4
random,random_robot_33,10,6,1,SimpleHill,0-0,0,14,10-17,8-25;12-13;10-13;15-25;14-22;15-22,15-22,59,13
random,random_robot_33,10,6,1,SimpleHill,0-0,0,15,15-22,23-18;11-18;7-17;8-18;22-16;16-30,22-16,61,2
random,random_robot_33,10,6,1,SimpleHill,0-0,0,16,22-16,20-21;20-19;15-20;15-13;25-24;13-17,15-20,57,-4
random,random_robot_33,10,6,1,SimpleHill,0-0,0,17,15-20,15-24;9-24;17-13;12-13;16-12;15-12,16-12,48,-9
random,random_robot_33,10,6,1,SimpleHill,0-0,0,18,16-12,18-11;18-12;11-10;20-17;14-20;20-3,20-17,60,12
random,random_robot_33,10,6,1,SimpleHill,0-0,0,19,20-17,20-13;17-10;19-22;27-24;24-13;13-14,20-13,54,-6
random,random_robot_33,10,6,1,SimpleHill,0-0,0,20,20-13,15-8;14-12;14-14;22-15;24-8;19-15,15-8,40,-14
random,random_robot_33,10,6,1,SimpleHill,0-0,0,21,15-8,9-3;23-8;22-14;14-17;15-6;20-7,22-14,58,18
random,random_robot_33,10,6,1,SimpleHill,0-0,0,22,22-14,30-14;23-16;25-15;17-11;20-14;21-5,30-14,66,8
