simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_76,10,6,1,SimpleHill,0-0,0,0,0-0,6-4;8-2;8-1;2-3;3-7;7-5,8-2,18,18
random,random_robot_76,10,6,1,SimpleHill,0-0,0,1,8-2,8-3;6-6;8-11;15-8;11-2;17-6,8-3,20,2
random,random_robot_76,10,6,1,SimpleHill,0-0,0,2,8-3,16-4;3-1;11-9;3-6;8-2;6-3,11-9,35,15
random,random_robot_76,10,6,1,SimpleHill,0-0,0,3,11-9,6-12;13-0;8-1;16-17;5-8;14-15,8-1,16,-19
random,random_robot_76,10,6,1,SimpleHill,0-0,0,4,8-1,17-0;17-2;10-5;4-5;13-5;9-10,17-2,32,16
random,random_robot_76,10,6,1,SimpleHill,0-0,0,5,17-2,13-2;10-9;12-7;14-3;22-4;11-7,12-7,34,2
random,random_robot_76,10,6,1,SimpleHill,0-0,0,6,12-7,18-6;20-10;19-13;8-5;6-9;14-9,14-9,40,6
random,random_robot_76,10,6,1,SimpleHill,0-0,0,7,14-9,16-9;8-1;7-7;15-2;21-3;21-8,16-9,43,3
random,random_robot_76,10,6,1,SimpleHill,0-0,0,8,16-9,22-4;10-13;15-8;22-3;21-11;14-1,21-11,52,9
random,random_robot_76,10,6,1,SimpleHill,0-0,0,9,21-11,24-10;20-18;17-20;16-7;24-16;30-11,17-20,60,8
random,random_robot_76,10,6,1,SimpleHill,0-0,0,10,17-20,17-10;14-19;24-27;22-23;19-13;18-26,19-13,53,-7
random,random_robot_76,10,6,1,SimpleHill,0-0,0,11,19-13,26-13;21-17;11-9;19-21;28-13;23-17,26-13,61,8
random,random_robot_76,10,6,1,SimpleHill,0-0,0,12,26-13,31-12;25-17;34-14;34-16;28-18;31-20,28-18,69,8
random,random_robot_76,10,6,1,SimpleHill,0-0,0,13,28-18,23-23;31-14;28-11;26-23;23-22;21-25,23-22,69,0
random,random_robot_76,10,6,1,SimpleHill,0-0,0,14,23-22,29-27;15-22;27-26;23-18;26-24;23-14,23-14,59,-10
random,random_robot_76,10,6,1,SimpleHill,0-0,0,15,23-14,30-8;22-12;31-8;21-19;22-18;25-22,30-8,56,-3
random,random_robot_76,10,6,1,SimpleHill,0-0,0,16,30-8,34-0;32-3;21-4;33-14;29-7;28-1,33-14,68,12
random,random_robot_76,10,6,1,SimpleHill,0-0,0,17,33-14,31-7;33-12;25-13;33-21;26-10;40-13,33-12,65,-3
random,random_robot_76,10,6,1,SimpleHill,0-0,0,18,33-12,27-13;30-3;41-14;30-10;39-12;32-14,39-12,68,3
random,random_robot_76,10,6,1,SimpleHill,0-0,0,19,39-12,36-5;34-10;46-6;47-14;39-5;37-16,46-6,60,-8
random,random_robot_76,10,6,1,SimpleHill,0-0,0,20,46-6,43-11;47-4;42-11;45-7;43-6;40-8,47-4,57,-3
random,random_robot_76,10,6,1,SimpleHill,0-0,0,21,47-4,40-5;53-1;46-9;47-12;53-2;52-3,46-9,66,9
random,random_robot_76,10,6,1,SimpleHill,0-0,0,22,46-9,37-8;49-3;51-8;48-4;46-11;53-6,48-4,57,-9
random,random_robot_76,10,6,1,SimpleHill,0-0,0,23,48-4,44-1;42-3;55-3;50-6;47-9;42-1,55-3,55,-2
random,random_robot_76,10,6,1,SimpleHill,0-0,0,24,55-3,54-10;53-7;46-7;51-9;58-0;48-9,48-9,66,11
random,random_robot_76,10,6,1,SimpleHill,0-0,0,25,48-9,44-16;42-10;46-7;52-4;44-11;52-9,52-9,66,0
random,random_robot_76,10,6,1,SimpleHill,0-0,0,26,52-9,58-11;44-8;56-8;56-0;50-12;58-8,56-0,49,-17
random,random_robot_76,10,6,1,SimpleHill,0-0,0,27,56-0,60-3;52-3;49-2;53-4;65-2;54-4,49-2,53,4
random,random_robot_76,10,6,1,SimpleHill,0-0,0,28,49-2,55-8;57-0;40-5;49-7;46-1;51-4,46-1,51,-2
random,random_robot_76,10,6,1,SimpleHill,0-0,0,29,46-1,38-7;48-1;46-6;40-5;45-10;47-7,45-10,67,16
random,random_robot_76,10,6,1,SimpleHill,0-0,0,30,45-10,45-4;52-9;48-1;48-11;51-12;50-13,50-13,72,5
random,random_robot_76,10,6,1,SimpleHill,0-0,0,31,50-13,59-16;55-8;44-11;51-11;57-17;59-11,51-11,69,-3
random,random_robot_76,10,6,1,SimpleHill,0-0,0,32,51-11,57-7;45-10;48-9;53-8;48-6;50-16,57-7,62,-7
random,random_robot_76,10,6,1,SimpleHill,0-0,0,33,57-7,59-11;65-5;61-10;54-8;53-11;59-13,53-11,69,7
random,random_robot_76,10,6,1,SimpleHill,0-0,0,34,53-11,52-18;53-5;49-12;59-12;51-9;62-8,52-18,79,10
random,random_robot_76,10,6,1,SimpleHill,0-0,0,35,52-18,58-20;55-10;52-8;43-22;46-15;51-26,46-15,75,-4
random,random_robot_76,10,6,1,SimpleHill,0-0,0,36,46-15,45-18;43-14;49-9;41-23;39-8;50-24,39-8,62,-13
random,random_robot_76,10,6,1,SimpleHill,0-0,0,37,39-8,34-6;45-5;32-5;43-2;37-8;38-0,37-8,61,-1
random,random_robot_76,10,6,1,SimpleHill,0-0,0,38,37-8,42-6;37-15;32-13;34-14;37-0;36-5,32-13,66,5
random,random_robot_76,10,6,1,SimpleHill,0-0,0,39,32-13,30-14;37-9;28-6;36-9;27-12;24-17,28-6,51,-15
