simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_57,10,6,1,SimpleHill,0-0,0,0,0-0,9-0;1-6;1-4;3-4;2-3;4-6,4-6,18,18
random,random_robot_57,10,6,1,SimpleHill,0-0,0,1,4-6,6-13;7-8;11-0;13-4;3-3;7-15,6-13,33,15
random,random_robot_57,10,6,1,SimpleHill,0-0,0,2,6-13,15-11;4-8;3-8;7-7;1-14;6-17,3-8,20,-13
random,random_robot_57,10,6,1,SimpleHill,0-0,0,3,3-8,3-0;7-6;8-15;4-4;4-12;6-11,3-0,5,-15
random,random_robot_57,10,6,1,SimpleHill,0-0,0,4,3-0,10-5;0-1;6-1;0-7;3-6;6-3,10-5,27,22
random,random_robot_57,10,6,1,SimpleHill,0-0,0,5,10-5,18-9;12-9;19-1;18-5;16-7;11-11,12-9,37,10
random,random_robot_57,10,6,1,SimpleHill,0-0,0,6,12-9,16-16;11-1;19-7;18-5;6-5;7-11,11-1,21,-16
random,random_robot_57,10,6,1,SimpleHill,0-0,0,7,11-1,20-1;4-5;13-2;14-6;10-2;16-4,16-4,34,13
random,random_robot_57,10,6,1,SimpleHill,0-0,0,8,16-4,10-4;23-2;16-12;14-12;7-2;15-11,10-4,25,-9
random,random_robot_57,10,6,1,SimpleHill,0-0,0,9,10-4,6-11;14-13;12-10;17-7;8-1;19-5,17-7,41,16
random,random_robot_57,10,6,1,SimpleHill,0-0,0,10,17-7,19-13;21-8;18-1;23-11;26-3;11-13,19-13,53,12
random,random_robot_57,10,6,1,SimpleHill,0-0,0,11,19-13,25-15;10-13;14-11;20-11;17-6;14-12,10-13,40,-13
random,random_robot_57,10,6,1,SimpleHill,0-0,0,12,10-13,11-18;1-14;10-7;9-8;4-11;4-17,10-7,31,-9
random,random_robot_57,10,6,1,SimpleHill,0-0,0,13,10-7,16-13;3-0;18-4;8-1;5-9;3-6,3-6,17,-14
random,random_robot_57,10,6,1,SimpleHill,0-0,0,14,3-6,1-8;3-7;12-9;3-8;6-13;11-3,3-7,18,1
random,random_robot_57,10,6,1,SimpleHill,0-0,0,15,3-7,12-11;11-6;0-16;4-3;9-2;3-16,0-16,26,8
random,random_robot_57,10,6,1,SimpleHill,0-0,0,16,0-16,6-23;2-15;3-16;5-11;1-8;1-19,6-23,46,20
random,random_robot_57,10,6,1,SimpleHill,0-0,0,17,6-23,5-24;7-20;13-17;2-27;1-29;1-26,7-20,45,-1
random,random_robot_57,10,6,1,SimpleHill,0-0,0,18,7-20,6-21;0-25;9-14;13-27;10-11;0-21,10-11,37,-8
random,random_robot_57,10,6,1,SimpleHill,0-0,0,19,10-11,13-11;5-19;6-8;17-17;10-5;18-12,18-12,50,13
random,random_robot_57,10,6,1,SimpleHill,0-0,0,20,18-12,13-20;23-11;20-17;18-11;10-10;21-6,23-11,55,5
random,random_robot_57,10,6,1,SimpleHill,0-0,0,21,23-11,29-9;25-3;32-13;21-20;23-12;24-20,32-13,66,11
random,random_robot_57,10,6,1,SimpleHill,0-0,0,22,32-13,35-18;24-16;37-8;30-17;26-14;32-19,35-18,75,9
random,random_robot_57,10,6,1,SimpleHill,0-0,0,23,35-18,35-11;32-26;31-16;27-14;43-16;32-25,31-16,69,-6
