simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,0,0-0,0-6;8-3;7-1;1-8;4-4;2-1,8-3,20,20
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,1,8-3,1-3;16-4;11-7;4-10;10-11;7-5,10-11,37,17
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,2,10-11,10-20;5-9;6-12;16-19;17-14;12-14,16-19,57,20
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,3,16-19,11-16;16-11;7-23;14-11;7-16;13-21,13-21,55,-2
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,4,13-21,5-20;11-16;10-12;16-24;8-17;10-15,16-24,63,8
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,5,16-24,17-25;7-27;11-31;8-27;15-26;21-31,21-31,75,12
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,6,21-31,14-28;18-36;28-28;14-26;26-23;21-33,28-28,80,5
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,7,28-28,21-33;22-36;27-30;24-30;20-30;29-37,29-37,87,7
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,8,29-37,32-35;31-29;28-36;31-45;20-40;25-41,31-45,92,5
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,9,31-45,25-39;39-50;38-44;22-45;34-50;35-44,39-50,97,5
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,10,39-50,44-51;41-50;38-47;38-59;40-50;42-57,44-51,99,2
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,11,44-51,47-43;39-57;40-57;49-48;39-43;48-53,48-53,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,12,48-53,53-54;46-44;54-56;57-55;45-61;44-48,53-54,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,13,53-54,46-59;55-63;60-53;51-58;52-49;56-51,52-49,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,14,52-49,53-55;51-43;61-52;54-49;55-40;50-51,53-55,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,15,53-55,45-53;60-60;58-51;53-48;61-57;47-61,45-53,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,16,45-53,51-60;50-54;52-48;40-48;48-62;41-48,50-54,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,17,50-54,52-49;42-55;59-54;46-51;59-53;53-49,52-49,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,18,52-49,48-50;48-44;56-52;45-47;59-51;49-55,48-50,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,19,48-50,42-56;40-54;42-49;40-49;46-53;51-58,46-53,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,20,46-53,37-52;55-56;41-54;48-57;55-53;55-57,55-53,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,21,55-53,52-60;59-45;55-52;64-51;51-44;61-56,51-44,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,22,51-44,48-44;50-39;58-37;45-45;52-50;59-39,48-44,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,23,48-44,43-52;55-41;51-38;49-36;53-38;43-40,43-52,98,-1
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,24,43-52,45-60;51-58;37-57;47-59;45-47;50-54,45-47,99,1
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,25,45-47,38-47;39-49;54-44;42-54;53-41;54-46,54-46,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,26,54-46,56-37;50-50;51-41;52-39;55-40;49-45,50-50,100,1
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,27,50-50,53-57;49-57;52-53;43-57;47-58;42-45,49-57,99,-1
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,28,49-57,43-59;57-56;48-61;53-57;44-64;46-63,53-57,98,-1
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,29,53-57,59-62;54-64;49-50;48-56;56-53;45-57,48-56,99,1
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,30,48-56,41-50;45-62;53-48;45-47;48-53;42-64,45-47,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,31,45-47,39-48;42-54;49-52;48-54;52-50;40-49,48-54,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,32,48-54,54-55;41-54;56-55;54-48;49-52;43-56,54-55,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,33,54-55,59-61;50-55;62-51;62-56;46-57;59-48,50-55,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,34,50-55,51-55;59-59;49-58;44-61;52-49;48-48,51-55,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,35,51-55,49-54;46-63;43-49;59-53;48-49;56-51,49-54,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,36,49-54,58-55;53-57;50-59;48-52;47-48;51-50,47-48,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,37,47-48,53-56;51-47;42-40;54-53;50-52;43-52,53-56,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,38,53-56,56-50;52-62;50-50;56-49;53-60;60-56,50-50,100,1
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,39,50-50,45-43;56-53;58-47;55-42;43-49;45-55,43-49,99,-1
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,40,43-49,53-49;40-51;39-43;36-55;49-54;40-52,53-49,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,41,53-49,57-54;56-49;48-42;46-45;58-43;52-47,46-45,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,42,46-45,46-44;54-43;51-39;44-51;50-40;44-52,44-51,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,43,44-51,44-54;45-44;44-43;45-49;42-57;44-61,45-49,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,44,45-49,46-53;41-48;46-52;46-49;38-54;39-43,46-53,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,45,46-53,50-62;47-56;47-53;52-51;47-50;46-53,46-53,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,46,46-53,42-48;43-53;43-46;41-48;46-48;41-56,46-48,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,47,46-48,51-43;50-48;44-53;51-48;42-46;46-55,51-43,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,48,51-43,41-43;54-42;48-49;49-38;46-46;50-37,46-46,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,49,46-46,41-38;40-48;42-53;53-53;39-50;53-46,53-46,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,50,53-46,55-54;58-40;62-50;49-42;59-49;48-49,55-54,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,51,55-54,56-49;62-47;57-63;59-53;53-49;55-48,56-49,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,52,56-49,65-50;60-53;60-48;58-40;58-43;61-41,58-43,97,-2
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,53,58-43,58-51;59-51;62-38;52-35;53-49;54-48,53-49,99,2
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,54,53-49,51-47;55-44;47-55;51-45;44-51;59-42,51-47,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,55,51-47,48-45;43-53;57-55;49-45;53-46;45-45,48-45,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,56,48-45,47-48;50-39;49-52;51-49;53-51;39-45,47-48,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,57,47-48,51-39;54-52;42-53;50-51;47-55;47-48,47-48,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,58,47-48,49-46;44-41;48-48;55-42;49-42;53-44,49-46,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,59,49-46,40-46;46-50;47-43;54-46;55-45;49-45,46-50,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,60,46-50,39-57;46-55;37-53;46-46;53-54;51-42,46-46,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,61,46-46,44-41;53-47;48-50;42-45;40-46;48-51,48-50,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,62,48-50,54-47;41-47;50-43;49-59;44-52;54-58,54-47,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,63,54-47,61-46;56-51;52-54;53-41;50-48;57-50,50-48,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,64,50-48,56-46;54-50;45-54;57-43;45-55;59-44,45-54,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,65,45-54,54-55;49-51;45-62;40-56;45-57;47-48,54-55,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,66,54-55,54-54;48-49;55-60;54-56;52-62;46-51,54-54,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,67,54-54,56-60;45-56;60-50;53-62;49-51;56-52,49-51,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,68,49-51,46-60;44-50;45-49;48-47;52-46;47-49,44-50,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,69,44-50,45-53;44-44;40-55;41-53;45-52;50-48,45-53,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,70,45-53,52-47;42-62;39-49;47-62;50-54;47-48,52-47,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,71,52-47,56-49;51-39;61-46;56-55;60-45;56-51,56-49,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,72,56-49,56-54;57-43;61-50;61-48;63-53;58-41,56-54,98,-1
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,73,56-54,59-48;61-46;58-53;62-59;53-49;54-54,53-49,99,1
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,74,53-49,53-50;45-53;51-48;49-42;53-53;53-56,53-50,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,75,53-50,50-49;58-58;59-45;45-49;52-45;59-56,50-49,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,76,50-49,49-41;51-53;49-45;55-44;54-55;46-57,49-45,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,77,49-45,52-49;42-45;55-51;57-42;52-39;58-47,52-49,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,78,52-49,57-47;46-45;48-54;43-52;54-44;60-46,46-45,99,0
optimal,random_robot_6,10,6,1,SimpleHill,0-0,0,79,46-45,39-49;45-46;40-43;52-51;42-54;52-46,45-46,99,0
