simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_84,10,6,1,SimpleHill,0-0,0,0,0-0,0-0;0-4;4-2;10-0;3-6;7-7,7-7,26,26
random,random_robot_84,10,6,1,SimpleHill,0-0,0,1,7-7,11-15;4-9;7-9;3-0;12-11;1-2,11-15,45,19
random,random_robot_84,10,6,1,SimpleHill,0-0,0,2,11-15,8-15;15-9;9-23;3-21;13-17;10-8,9-23,51,6
random,random_robot_84,10,6,1,SimpleHill,0-0,0,3,9-23,10-24;7-21;18-20;2-26;10-32;14-23,18-20,61,10
random,random_robot_84,10,6,1,SimpleHill,0-0,0,4,18-20,19-23;19-27;24-23;10-17;22-20;12-26,24-23,71,10
random,random_robot_84,10,6,1,SimpleHill,0-0,0,5,24-23,18-27;30-23;21-26;22-23;20-26;21-31,30-23,77,6
random,random_robot_84,10,6,1,SimpleHill,0-0,0,6,30-23,35-19;29-29;31-15;21-27;33-14;39-25,39-25,85,8
random,random_robot_84,10,6,1,SimpleHill,0-0,0,7,39-25,39-21;32-28;41-16;30-29;43-32;46-20,43-32,92,7
random,random_robot_84,10,6,1,SimpleHill,0-0,0,8,43-32,36-32;44-40;38-35;48-33;40-31;42-24,44-40,97,5
random,random_robot_84,10,6,1,SimpleHill,0-0,0,9,44-40,50-32;44-30;47-36;46-33;35-43;53-40,53-40,97,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,10,53-40,47-48;58-39;59-44;58-46;56-45;50-33,47-48,99,2
random,random_robot_84,10,6,1,SimpleHill,0-0,0,11,47-48,48-45;41-48;49-43;44-47;46-55;54-53,48-45,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,12,48-45,40-47;43-48;49-37;54-50;52-36;43-49,54-50,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,13,54-50,60-57;50-45;45-48;54-60;50-48;52-51,50-45,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,14,50-45,52-45;48-40;51-49;42-42;54-53;45-43,52-45,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,15,52-45,60-41;49-53;45-38;47-53;53-47;50-38,49-53,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,16,49-53,54-57;43-54;58-50;47-60;45-44;48-45,48-45,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,17,48-45,57-48;57-49;42-39;50-37;44-40;39-43,57-49,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,18,57-49,56-56;65-53;66-45;63-48;52-45;62-42,52-45,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,19,52-45,44-47;54-43;49-40;58-53;60-49;46-41,44-47,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,20,44-47,42-49;47-55;37-40;43-43;41-42;46-40,47-55,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,21,47-55,44-49;49-56;39-56;43-49;37-55;47-46,44-49,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,22,44-49,43-46;39-41;49-49;53-52;41-54;48-42,49-49,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,23,49-49,50-43;56-42;58-46;48-49;44-42;47-40,50-43,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,24,50-43,52-35;52-51;57-38;57-37;54-34;48-36,52-51,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,25,52-51,52-54;55-45;59-54;59-58;55-43;58-53,52-54,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,26,52-54,56-49;52-48;43-55;45-50;56-48;58-61,56-49,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,27,56-49,49-45;50-43;48-51;53-50;50-51;61-48,49-45,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,28,49-45,45-53;43-48;48-36;51-51;50-44;50-45,45-53,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,29,45-53,36-49;43-62;37-55;44-58;39-56;49-44,49-44,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,30,49-44,55-36;45-43;43-46;45-40;48-52;46-45,48-52,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,31,48-52,55-54;45-49;47-55;49-43;56-49;50-60,55-54,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,32,55-54,56-63;63-60;59-54;60-49;60-51;45-54,45-54,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,33,45-54,47-47;49-55;42-60;50-58;42-59;48-46,47-47,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,34,47-47,55-42;47-40;47-54;45-45;47-51;38-45,47-54,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,35,47-54,43-54;38-51;48-59;51-45;54-53;39-55,51-45,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,36,51-45,53-44;56-53;44-51;43-47;43-39;57-53,53-44,99,0
random,random_robot_84,10,6,1,SimpleHill,0-0,0,37,53-44,44-41;60-45;56-43;59-43;56-45;56-38,56-43,98,-1
random,random_robot_84,10,6,1,SimpleHill,0-0,0,38,56-43,49-45;50-42;49-38;55-46;52-38;55-44,49-45,99,1
random,random_robot_84,10,6,1,SimpleHill,0-0,0,39,49-45,49-50;46-48;44-51;51-37;55-49;40-44,49-50,99,0
