simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_69,10,6,1,SimpleHill,0-0,0,0,0-0,2-2;1-6;0-4;1-4;0-7;10-0,10-0,18,18
random,random_robot_69,10,6,1,SimpleHill,0-0,0,1,10-0,12-6;4-6;7-9;15-0;16-0;5-8,12-6,32,14
random,random_robot_69,10,6,1,SimpleHill,0-0,0,2,12-6,20-5;8-10;6-4;8-3;11-8;20-3,20-5,41,9
random,random_robot_69,10,6,1,SimpleHill,0-0,0,3,20-5,11-5;25-3;23-11;18-10;23-14;16-13,23-14,59,18
random,random_robot_69,10,6,1,SimpleHill,0-0,0,4,23-14,23-10;30-11;24-15;31-13;17-21;18-17,31-13,65,6
random,random_robot_69,10,6,1,SimpleHill,0-0,0,5,31-13,22-11;33-5;36-18;36-20;35-18;26-17,36-20,78,13
random,random_robot_69,10,6,1,SimpleHill,0-0,0,6,36-20,40-13;33-19;43-17;42-14;35-12;33-11,43-17,77,-1
random,random_robot_69,10,6,1,SimpleHill,0-0,0,7,43-17,38-18;43-20;34-20;48-23;35-18;36-20,48-23,85,8
random,random_robot_69,10,6,1,SimpleHill,0-0,0,8,48-23,56-17;48-25;55-24;52-30;39-25;53-16,52-30,91,6
random,random_robot_69,10,6,1,SimpleHill,0-0,0,9,52-30,56-26;51-37;46-31;47-27;54-32;44-34,51-37,96,5
random,random_robot_69,10,6,1,SimpleHill,0-0,0,10,51-37,58-44;54-28;60-35;54-42;47-45;42-36,47-45,99,3
random,random_robot_69,10,6,1,SimpleHill,0-0,0,11,47-45,55-51;38-41;51-48;42-49;56-45;39-42,55-51,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,12,55-51,50-49;48-52;52-59;50-53;47-52;55-49,50-49,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,13,50-49,48-44;53-45;42-49;51-50;48-58;56-45,48-44,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,14,48-44,48-36;52-52;51-40;42-40;48-42;49-41,52-52,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,15,52-52,48-49;54-46;45-57;46-52;53-49;59-49,48-49,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,16,48-49,44-53;52-41;55-42;53-57;50-44;51-51,44-53,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,17,44-53,43-59;36-55;50-61;45-52;51-59;49-48,45-52,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,18,45-52,42-61;45-44;40-47;36-55;48-48;42-45,48-48,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,19,48-48,51-42;39-49;43-42;51-48;47-50;39-51,51-48,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,20,51-48,58-51;57-55;58-43;47-56;60-49;49-48,47-56,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,21,47-56,38-54;45-49;46-49;53-58;50-55;53-49,45-49,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,22,45-49,49-52;40-52;40-55;43-55;46-42;49-48,49-52,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,23,49-52,56-54;41-50;45-51;55-53;50-45;40-50,45-51,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,24,45-51,45-57;48-59;41-51;49-58;37-51;42-50,45-57,98,-1
random,random_robot_69,10,6,1,SimpleHill,0-0,0,25,45-57,42-61;38-53;46-48;41-54;44-48;52-59,46-48,99,1
random,random_robot_69,10,6,1,SimpleHill,0-0,0,26,46-48,39-49;46-56;52-52;46-48;39-52;48-47,52-52,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,27,52-52,49-59;54-61;50-45;51-54;61-55;45-53,50-45,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,28,50-45,51-37;53-53;51-39;49-45;59-49;42-46,53-53,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,29,53-53,50-53;57-48;50-52;57-50;57-44;45-49,50-53,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,30,50-53,42-51;48-57;45-58;45-61;57-54;53-62,42-51,98,-1
random,random_robot_69,10,6,1,SimpleHill,0-0,0,31,42-51,43-53;38-56;41-60;35-45;44-47;50-53,44-47,99,1
random,random_robot_69,10,6,1,SimpleHill,0-0,0,32,44-47,41-54;47-56;45-38;35-46;41-53;44-43,47-56,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,33,47-56,45-49;46-57;46-62;53-64;48-50;38-55,45-49,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,34,45-49,37-52;46-55;52-56;51-56;43-56;42-54,46-55,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,35,46-55,44-61;50-57;49-47;43-52;55-57;44-58,50-57,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,36,50-57,54-53;50-47;46-61;42-59;56-53;46-66,54-53,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,37,54-53,47-59;52-52;49-50;51-48;55-47;47-60,52-52,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,38,52-52,51-55;49-54;48-57;46-44;59-48;46-51,51-55,99,0
random,random_robot_69,10,6,1,SimpleHill,0-0,0,39,51-55,46-62;50-63;48-52;58-48;60-55;47-54,48-52,99,0
