simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_19,10,6,1,SimpleHill,0-0,0,0,0-0,6-2;2-1;7-2;8-5;3-3;2-0,2-0,3,3
random,random_robot_19,10,6,1,SimpleHill,0-0,0,1,2-0,10-6;11-3;9-3;10-0;2-2;8-7,8-7,27,24
random,random_robot_19,10,6,1,SimpleHill,0-0,0,2,8-7,10-10;3-8;9-8;0-11;9-14;13-2,9-8,31,4
random,random_robot_19,10,6,1,SimpleHill,0-0,0,3,9-8,6-10;6-6;4-8;16-5;9-5;17-4,6-10,29,-2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,4,6-10,14-9;12-2;0-6;14-14;12-17;11-14,14-14,48,19
random,random_robot_19,10,6,1,SimpleHill,0-0,0,5,14-14,18-15;7-9;22-18;16-12;11-8;10-12,11-8,34,-14
random,random_robot_19,10,6,1,SimpleHill,0-0,0,6,11-8,17-16;4-4;7-6;15-2;18-14;3-8,7-6,24,-10
random,random_robot_19,10,6,1,SimpleHill,0-0,0,7,7-6,9-12;16-4;2-5;4-3;15-1;15-8,2-5,13,-11
random,random_robot_19,10,6,1,SimpleHill,0-0,0,8,2-5,0-2;2-3;6-2;5-12;8-13;10-11,0-2,3,-10
random,random_robot_19,10,6,1,SimpleHill,0-0,0,9,0-2,4-6;3-4;8-8;6-8;2-1;5-10,8-8,29,26
random,random_robot_19,10,6,1,SimpleHill,0-0,0,10,8-8,6-16;1-13;1-8;8-6;12-6;8-17,8-17,42,13
random,random_robot_19,10,6,1,SimpleHill,0-0,0,11,8-17,14-22;7-25;8-17;11-22;16-14;12-8,7-25,50,8
random,random_robot_19,10,6,1,SimpleHill,0-0,0,12,7-25,5-26;2-18;17-25;1-31;2-22;12-25,17-25,65,15
random,random_robot_19,10,6,1,SimpleHill,0-0,0,13,17-25,21-26;15-23;18-25;23-19;11-19;13-34,18-25,67,2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,14,18-25,17-30;21-28;14-22;18-16;25-21;27-23,25-21,70,3
random,random_robot_19,10,6,1,SimpleHill,0-0,0,15,25-21,31-23;35-21;29-17;21-23;21-22;22-28,31-23,78,8
random,random_robot_19,10,6,1,SimpleHill,0-0,0,16,31-23,35-24;41-23;32-30;31-21;35-15;22-25,41-23,83,5
random,random_robot_19,10,6,1,SimpleHill,0-0,0,17,41-23,38-26;35-29;32-27;40-15;42-22;38-31,40-15,73,-10
random,random_robot_19,10,6,1,SimpleHill,0-0,0,18,40-15,49-13;48-17;39-6;36-6;45-12;46-21,48-17,78,5
random,random_robot_19,10,6,1,SimpleHill,0-0,0,19,48-17,55-12;45-10;42-25;57-17;54-11;45-14,54-11,69,-9
random,random_robot_19,10,6,1,SimpleHill,0-0,0,20,54-11,52-20;55-10;63-12;52-12;62-11;57-17,57-17,77,8
random,random_robot_19,10,6,1,SimpleHill,0-0,0,21,57-17,66-21;48-19;55-13;55-26;63-24;55-17,55-17,77,0
random,random_robot_19,10,6,1,SimpleHill,0-0,0,22,55-17,60-16;55-13;54-22;47-19;62-10;50-25,62-10,65,-12
random,random_robot_19,10,6,1,SimpleHill,0-0,0,23,62-10,56-7;68-14;63-9;58-19;68-3;64-14,68-14,67,2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,24,68-14,60-20;69-10;70-7;67-18;66-10;62-22,69-10,60,-7
random,random_robot_19,10,6,1,SimpleHill,0-0,0,25,69-10,65-6;68-9;62-9;63-17;66-4;65-2,62-9,63,3
random,random_robot_19,10,6,1,SimpleHill,0-0,0,26,62-9,56-10;61-15;66-12;54-6;61-13;65-9,65-9,61,-2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,27,65-9,66-6;66-4;63-18;69-4;63-15;66-10,69-4,50,-11
random,random_robot_19,10,6,1,SimpleHill,0-0,0,28,69-4,60-0;66-13;68-12;67-13;70-10;68-6,66-13,67,17
random,random_robot_19,10,6,1,SimpleHill,0-0,0,29,66-13,63-12;69-5;67-16;67-7;59-20;64-8,63-12,67,0
random,random_robot_19,10,6,1,SimpleHill,0-0,0,30,63-12,61-4;57-20;68-10;57-19;55-11;59-7,55-11,69,2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,31,55-11,58-9;54-17;57-6;47-13;50-8;53-10,53-10,67,-2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,32,53-10,50-16;46-4;48-6;53-15;54-1;59-3,59-3,54,-13
random,random_robot_19,10,6,1,SimpleHill,0-0,0,33,59-3,53-1;63-12;60-0;59-12;55-9;62-8,53-1,51,-3
random,random_robot_19,10,6,1,SimpleHill,0-0,0,34,53-1,50-7;52-3;45-7;49-3;54-10;47-8,52-3,55,4
random,random_robot_19,10,6,1,SimpleHill,0-0,0,35,52-3,47-4;55-8;61-0;49-5;54-1;55-1,54-1,51,-4
random,random_robot_19,10,6,1,SimpleHill,0-0,0,36,54-1,61-2;53-5;60-1;57-7;45-3;52-10,45-3,55,4
random,random_robot_19,10,6,1,SimpleHill,0-0,0,37,45-3,48-1;40-1;42-7;45-2;45-8;54-4,40-1,49,-6
random,random_robot_19,10,6,1,SimpleHill,0-0,0,38,40-1,47-6;42-8;33-1;43-5;34-5;41-10,34-5,54,5
random,random_robot_19,10,6,1,SimpleHill,0-0,0,39,34-5,36-13;32-1;38-12;29-6;37-1;32-14,29-6,52,-2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,40,29-6,26-2;26-0;26-5;27-9;24-3;33-12,26-0,38,-14
random,random_robot_19,10,6,1,SimpleHill,0-0,0,41,26-0,31-0;34-2;24-4;18-0;24-5;31-3,31-3,48,10
random,random_robot_19,10,6,1,SimpleHill,0-0,0,42,31-3,35-0;36-9;33-9;40-2;24-10;33-1,24-10,54,6
random,random_robot_19,10,6,1,SimpleHill,0-0,0,43,24-10,23-13;20-13;31-12;27-11;17-10;18-14,20-13,54,0
random,random_robot_19,10,6,1,SimpleHill,0-0,0,44,20-13,12-15;14-14;29-9;20-8;29-13;11-16,20-8,46,-8
random,random_robot_19,10,6,1,SimpleHill,0-0,0,45,20-8,26-13;11-7;17-8;19-0;25-1;20-8,20-8,46,0
random,random_robot_19,10,6,1,SimpleHill,0-0,0,46,20-8,13-14;13-2;13-7;15-4;14-9;26-0,13-2,26,-20
random,random_robot_19,10,6,1,SimpleHill,0-0,0,47,13-2,6-9;16-10;7-8;22-5;13-12;6-0,22-5,43,17
random,random_robot_19,10,6,1,SimpleHill,0-0,0,48,22-5,21-11;19-2;31-6;29-9;18-14;18-13,29-9,57,14
random,random_robot_19,10,6,1,SimpleHill,0-0,0,49,29-9,25-17;33-3;20-6;23-13;29-3;27-8,33-3,50,-7
random,random_robot_19,10,6,1,SimpleHill,0-0,0,50,33-3,32-2;43-3;34-9;35-12;39-5;30-6,35-12,66,16
random,random_robot_19,10,6,1,SimpleHill,0-0,0,51,35-12,40-9;31-11;34-13;26-12;36-10;37-3,37-3,52,-14
random,random_robot_19,10,6,1,SimpleHill,0-0,0,52,37-3,46-6;38-7;28-5;30-7;42-2;41-11,42-2,52,0
random,random_robot_19,10,6,1,SimpleHill,0-0,0,53,42-2,44-0;44-3;37-9;47-1;36-9;38-3,47-1,51,-1
random,random_robot_19,10,6,1,SimpleHill,0-0,0,54,47-1,41-4;50-4;47-1;49-5;43-1;45-0,43-1,51,0
random,random_robot_19,10,6,1,SimpleHill,0-0,0,55,43-1,38-7;45-3;51-1;37-7;36-8;50-6,38-7,60,9
random,random_robot_19,10,6,1,SimpleHill,0-0,0,56,38-7,32-14;31-1;41-10;32-6;45-0;29-10,31-1,44,-16
random,random_robot_19,10,6,1,SimpleHill,0-0,0,57,31-1,40-1;25-4;31-7;32-0;24-0;26-5,32-0,43,-1
random,random_robot_19,10,6,1,SimpleHill,0-0,0,58,32-0,26-4;28-5;32-6;40-6;25-7;26-3,32-6,54,11
random,random_robot_19,10,6,1,SimpleHill,0-0,0,59,32-6,27-6;24-12;40-6;34-4;37-1;33-0,37-1,48,-6
random,random_robot_19,10,6,1,SimpleHill,0-0,0,60,37-1,43-5;29-5;28-2;43-3;45-7;29-3,43-5,58,10
random,random_robot_19,10,6,1,SimpleHill,0-0,0,61,43-5,51-6;36-6;44-4;37-6;37-1;51-2,44-4,56,-2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,62,44-4,46-13;44-0;43-3;53-6;39-7;51-10,43-3,54,-2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,63,43-3,40-9;48-10;51-6;38-8;39-11;41-1,39-11,67,13
random,random_robot_19,10,6,1,SimpleHill,0-0,0,64,39-11,49-11;39-12;45-12;46-16;34-4;39-4,45-12,70,3
random,random_robot_19,10,6,1,SimpleHill,0-0,0,65,45-12,42-10;50-20;39-8;36-13;50-5;39-6,39-6,58,-12
random,random_robot_19,10,6,1,SimpleHill,0-0,0,66,39-6,41-1;47-3;31-8;41-0;30-8;31-7,41-0,48,-10
random,random_robot_19,10,6,1,SimpleHill,0-0,0,67,41-0,39-1;40-3;33-5;43-6;33-3;42-3,42-3,54,6
random,random_robot_19,10,6,1,SimpleHill,0-0,0,68,42-3,44-4;47-1;48-0;38-4;50-6;50-3,48-0,49,-5
random,random_robot_19,10,6,1,SimpleHill,0-0,0,69,48-0,56-2;49-1;52-6;54-1;56-3;48-1,54-1,51,2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,70,54-1,49-1;49-7;57-4;58-9;47-7;48-6,49-7,63,12
random,random_robot_19,10,6,1,SimpleHill,0-0,0,71,49-7,48-1;46-8;55-9;46-0;50-5;54-12,48-1,51,-12
random,random_robot_19,10,6,1,SimpleHill,0-0,0,72,48-1,40-3;47-1;53-8;54-6;45-0;50-3,40-3,53,2
random,random_robot_19,10,6,1,SimpleHill,0-0,0,73,40-3,31-6;48-2;39-1;43-5;47-0;41-2,39-1,49,-4
random,random_robot_19,10,6,1,SimpleHill,0-0,0,74,39-1,29-1;32-0;37-7;37-3;35-6;31-3,31-3,48,-1
random,random_robot_19,10,6,1,SimpleHill,0-0,0,75,31-3,38-9;28-1;24-6;38-6;38-1;37-2,28-1,42,-6
random,random_robot_19,10,6,1,SimpleHill,0-0,0,76,28-1,25-1;31-2;31-4;24-8;35-3;27-2,25-1,39,-3
random,random_robot_19,10,6,1,SimpleHill,0-0,0,77,25-1,31-0;21-5;22-0;34-1;16-0;28-8,21-5,42,3
random,random_robot_19,10,6,1,SimpleHill,0-0,0,78,21-5,25-8;19-7;17-7;13-9;17-11;29-4,17-11,47,5
random,random_robot_19,10,6,1,SimpleHill,0-0,0,79,17-11,19-6;23-5;24-8;22-16;8-14;13-13,22-16,61,14
