simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,0,0-0,4-0;0-3;1-3;1-8;2-2;2-9,2-9,20,20
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,1,2-9,1-11;4-2;6-8;5-7;12-9;7-17,7-17,41,21
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,2,7-17,1-20;5-9;6-22;2-19;2-22;1-24,6-22,45,4
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,3,6-22,13-17;0-17;0-16;3-18;6-26;10-28,10-28,58,13
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,4,10-28,4-20;8-32;3-35;13-35;14-24;13-27,13-35,68,10
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,5,13-35,14-34;15-39;17-40;10-32;15-29;11-43,17-40,76,8
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,6,17-40,22-45;11-34;20-48;13-49;18-39;17-45,22-45,83,7
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,7,22-45,18-51;27-37;28-39;20-50;14-51;26-39,28-39,87,4
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,8,28-39,37-35;28-32;33-40;30-30;34-45;33-36,34-45,94,7
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,9,34-45,31-37;37-48;31-49;40-53;43-43;37-49,43-43,98,4
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,10,43-43,48-48;40-52;41-37;44-38;46-52;45-38,48-48,99,1
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,11,48-48,45-45;42-47;42-46;48-53;41-55;46-42,45-45,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,12,45-45,43-44;54-46;44-54;45-54;37-42;44-48,44-48,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,13,44-48,38-45;36-43;49-40;44-50;45-41;48-40,44-50,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,14,44-50,42-47;50-43;47-58;46-43;52-45;44-52,44-52,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,15,44-52,40-58;36-57;48-53;46-51;39-46;38-56,46-51,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,16,46-51,48-57;51-45;54-47;52-58;43-57;41-53,51-45,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,17,51-45,55-37;48-37;52-47;46-49;53-54;51-37,46-49,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,18,46-49,41-56;47-58;42-55;42-58;42-40;50-49,50-49,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,19,50-49,53-46;54-58;54-51;45-46;41-47;57-42,53-46,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,20,53-46,56-52;52-46;55-44;53-53;59-46;60-53,56-52,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,21,56-52,65-48;54-57;54-61;51-55;49-50;51-48,49-50,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,22,49-50,53-59;54-57;41-50;57-44;48-58;43-49,43-49,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,23,43-49,40-44;39-49;38-43;49-55;40-49;38-41,49-55,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,24,49-55,55-52;46-62;51-51;46-56;41-56;58-56,55-52,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,25,55-52,59-52;62-47;59-61;50-47;54-59;64-52,50-47,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,26,50-47,55-46;55-51;42-47;46-53;57-47;48-45,55-46,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,27,55-46,53-49;59-43;46-45;57-55;64-49;59-49,53-49,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,28,53-49,46-49;57-44;57-51;51-54;58-41;54-53,46-49,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,29,46-49,37-53;41-45;46-44;44-52;42-49;50-53,44-52,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,30,44-52,45-47;38-48;39-46;51-52;41-45;38-51,45-47,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,31,45-47,47-48;54-48;48-49;45-50;37-51;43-42,47-48,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,32,47-48,43-52;44-47;42-45;56-45;47-51;52-55,44-47,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,33,44-47,43-52;52-44;47-48;50-50;47-45;52-51,50-50,100,1
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,34,50-50,52-50;54-59;48-49;50-56;54-54;48-47,52-50,99,-1
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,35,52-50,50-58;46-53;52-51;47-47;55-56;56-51,46-53,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,36,46-53,47-61;45-44;50-51;50-49;48-55;53-50,48-55,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,37,48-55,40-58;45-54;53-53;40-61;49-56;50-57,45-54,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,38,45-54,39-57;49-49;43-54;55-54;38-56;42-58,49-49,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,39,49-49,45-43;49-44;48-55;55-52;57-43;52-52,48-55,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,40,48-55,44-47;45-53;54-52;53-63;44-58;53-47,44-47,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,41,44-47,47-52;49-44;40-38;47-42;40-55;36-53,47-52,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,42,47-52,56-55;49-45;41-56;42-44;42-56;41-47,49-45,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,43,49-45,49-49;52-46;51-39;41-47;47-54;45-44,49-49,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,44,49-49,39-49;45-44;44-44;49-42;57-51;43-44,57-51,99,0
optimal,random_robot_54,10,6,1,SimpleHill,0-0,0,45,57-51,52-53;56-56;65-51;52-46;52-43;64-54,52-53,99,0
