subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,start_pos_list_ix,start_pos_list,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,exp_time
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,21,training,27-23,28-21;20-20;24-16;28-24;34-26;31-26,31-26,3.56,76,6,620.855370688
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,22,training,31-26,28-19;32-19;34-23;39-26;30-29;33-32,39-26,6.21,76,0,631.015286657
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,23,training,39-26,36-24;41-25;42-28;43-32;39-26;38-20,43-32,2.62,87,11,638.156858126
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,24,training,43-32,47-36;42-26;39-34;42-25;40-33;46-25,39-34,4.78,89,2,646.576473778
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,25,training,39-34,44-29;42-40;33-38;42-35;41-34;35-28,42-35,3.64,91,2,655.822961003
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,26,training,42-35,45-36;36-38;38-31;40-39;36-32;37-38,45-36,7.5,92,1,667.360212247
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,27,training,45-36,45-38;46-35;50-30;43-31;37-36;48-39,48-39,6.15,95,3,678.535043246
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,28,training,48-39,43-43;54-36;53-33;50-32;53-34;53-41,53-41,6.9,96,1,689.757678139
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,29,training,53-41,48-44;55-44;57-40;50-45;48-39;52-48,52-48,7.81,99,3,702.346988586
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,0,selected,0-0,0-0;5-1;3-3;0-7;4-6;1-0,0-7,3.05,13,13,743.259683358
