subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,25,40-13,42-8;41-17;39-19;46-8;49-14;37-14,37-14,4.35,71,0,1027.505726,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,26,37-14,38-18;34-22;45-14;32-15;33-20;35-8,35-8,3.52,61,-10,1035.10871,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,27,35-8,35-2;41-13;40-10;28-10;44-12;30-5,41-13,2.05,72,11,1041.234757,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,28,41-13,35-6;47-14;48-10;40-18;38-16;41-20,40-18,7.86,78,6,1053.1795029999996,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,29,40-18,41-11;35-18;41-18;32-14;42-10;41-13,35-18,3.96,76,-2,1061.20991,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,30,35-18,37-12;38-24;34-27;40-11;35-21;27-15,27-15,4.36,65,-11,1069.634384,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,31,27-15,31-9;27-8;34-14;20-22;29-13;30-20,27-8,1.59,55,-10,1075.269056,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,32,27-8,35-13;24-0;33-6;33-4;23-17;25-14,35-13,8.53,69,14,1087.873709,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,33,35-13,37-9;32-8;38-21;30-15;32-21;33-17,30-15,2.54,68,-1,1094.470043,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,34,30-15,30-8;32-11;30-21;33-10;33-21;38-10,30-21,2.33,76,8,1100.862599,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,35,30-21,31-23;35-20;33-13;22-26;34-28;27-27,34-28,3.01,86,10,1107.958151,1
