subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,start_pos_list_ix,start_pos_list,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,exp_time
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,0,training,0-0,6-3;2-4;7-0;1-2;5-5;5-4,5-5,5.9,19,19,120.70105541
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,1,training,5-5,7-3;2-7;5-12;12-5;12-2;1-7,1-7,2.95,26,7,129.233289395
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,2,training,1-7,4-2;5-11;5-2;7-3;3-4;0-8,3-4,2.6,15,-11,136.879873653
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,3,training,3-4,1-1;7-10;9-6;6-10;6-7;7-0,6-7,2.35,26,11,143.157529831
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,4,training,6-7,8-2;9-8;6-1;4-9;3-10;10-2,9-8,1.98,29,3,148.993386883
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,5,training,9-8,14-13;11-7;2-6;13-12;15-6;8-11,13-12,1.03,42,13,153.991385663
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,6,training,13-12,12-17;18-16;12-11;10-8;6-12;14-11,12-17,1.59,56,14,158.970011146
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,7,training,12-17,14-15;9-13;19-19;6-13;4-17;13-22,13-22,1.53,68,12,164.61301676600002
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,8,training,13-22,16-22;10-24;14-24;12-19;18-21;13-23,10-24,1.47,72,4,169.110504357
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,9,training,10-24,16-27;11-24;4-29;8-17;3-22;6-27,16-27,1.47,78,6,173.95185420200002
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,10,training,16-27,18-29;18-30;14-25;15-23;18-26;14-27,18-30,1.51,84,6,178.981392365
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,11,training,18-30,14-24;15-29;24-35;23-26;17-29;14-25,23-26,2.21,76,-8,184.07791506900003
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,12,training,23-26,26-30;20-27;21-27;19-22;21-33;19-30,21-33,2.03,88,12,189.926626728
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,13,training,21-33,16-29;17-36;24-33;22-36;14-33;19-28,16-29,3.16,82,-6,196.890585879
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,14,training,16-29,17-25;21-34;11-25;18-36;15-25;15-26,21-34,2.49,89,7,203.48532886700002
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,15,training,21-34,23-37;20-40;16-40;25-28;16-30;28-35,23-37,3.09,93,4,213.53876131799998
GEMS140,2018_Apr_26_1203,Kramer,MP,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,16,training,23-37,23-45;24-37;16-36;25-33;25-38;20-30,25-38,1.51,94,1,218.930032835
