subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,26,59-52,58-48;50-49;66-48;55-53;64-59;59-53,58-48,3.07,99,0,418.5586964,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,27,58-48,53-47;54-48;56-42;64-44;61-45;58-54,56-42,1.15,99,0,423.7680422,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,28,56-42,61-45;51-40;54-33;55-45;62-49;50-34,55-45,5,100,1,432.8332294,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,29,55-45,57-47;55-36;52-39;49-52;53-50;63-44,57-47,3.29,99,-1,440.1928358,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,30,57-47,57-54;62-51;64-52;55-53;52-54;61-40,57-54,2.37,99,0,446.6343826,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,31,57-54,55-55;57-51;56-45;55-60;51-59;65-55,51-59,1.7,99,0,452.3991897,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,32,51-59,45-67;48-66;57-63;45-63;49-65;42-55,57-63,1.64,96,-3,458.1056253,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,33,57-63,57-60;59-65;51-60;49-66;54-65;58-64,51-60,3.91,98,2,466.0833079,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,34,51-60,56-65;43-61;60-61;43-64;51-61;53-60,43-64,1.32,96,-2,471.4657756,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,35,43-64,39-62;35-60;45-57;47-61;50-64;39-68,50-64,4.85,97,1,480.3800747,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,36,50-64,49-56;58-61;44-57;59-65;49-67;56-58,59-65,5.03,94,-3,489.504074,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,37,59-65,61-60;66-69;61-66;59-64;57-59;62-65,57-59,3.35,98,4,496.9065036,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,38,57-59,56-65;50-63;60-66;57-56;52-66;51-55,52-66,3.88,95,-3,504.8598527,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,39,52-66,59-59;49-58;48-66;54-61;50-57;54-60,59-59,5.68,97,2,514.8394279,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,40,59-59,56-66;54-53;63-61;51-56;60-53;54-65,51-56,4.63,100,3,523.5232328,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,41,51-56,45-55;58-59;57-52;46-53;60-59;59-53,45-55,4.32,100,0,531.9158253,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,42,45-55,52-54;51-53;37-51;36-57;52-53;41-46,36-57,5.2,96,-4,541.1666506,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,43,36-57,33-56;31-54;31-53;44-52;42-53;33-59,44-52,3.42,100,4,548.657291,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,44,44-52,45-43;47-58;45-44;50-45;51-45;49-45,47-58,3.13,99,-1,555.8405646,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,45,47-58,49-66;38-62;47-57;49-59;40-52;55-59,40-52,6.3,98,-1,566.2173427,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,46,40-52,40-48;41-47;39-54;46-59;34-59;39-45,46-59,1.78,99,1,572.0742201,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,47,46-59,39-62;51-66;49-55;40-60;41-64;45-64,51-66,1.56,95,-4,577.677184,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,48,51-66,49-70;55-59;56-59;48-67;43-61;50-58,56-59,2.6,98,3,584.3158712,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,49,56-59,63-54;51-64;63-55;65-55;52-53;60-59,52-53,2.95,100,2,591.3365332,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,50,52-53,47-56;45-52;52-62;58-56;51-44;56-52,56-52,3.02,100,0,598.4148105,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,51,56-52,48-50;62-49;62-50;59-47;60-58;54-59,54-59,3.11,99,-1,605.6001612,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,52,54-59,61-55;45-59;53-57;49-52;56-52;61-63,45-59,5.18,98,-1,614.9060395,1
